Driver,Team,BestLap_s,LongRunPace_s,Degradation_s_per_lap,TotalLaps,CompositeScore,PredictedPosition,GridPos,_has_pace,P_Win,P_Podium,P_Top5,P_Top6,P_Top10,P_Points,ExpectedPoints,P_BeatTeammate,Reliability,BestLap_fmt,RacePace_fmt,Degradation_fmt
ANT,Mercedes,66.439,89.8,-0.6997709657793749,1039,0.9903594722031019,1,1,1,0.11642,0.289975191238531,0.48782,0.55814,0.8640696648410625,0.8640696648410625,9.43904,0.50312,0.88,1:06.439,1:29.800,-0.700s/lap
RUS,Mercedes,66.138,90.1608,-0.3912835068694792,1190,0.9821337705266354,2,2,1,0.11842,0.293578066784755,0.4861,0.55512,0.8640696648410625,0.8640696648410625,9.434000000000001,0.49688,0.88,1:06.138,1:30.161,-0.391s/lap
LEC,Ferrari,66.374,89.9888,-0.43275845237144955,1193,0.8914287060353725,3,3,1,0.09418,0.1891467421096909,0.43454,0.50656,0.8640696648410625,0.8640696648410625,8.459859999999999,0.4293,0.846,1:06.374,1:29.989,-0.433s/lap
HAM,Ferrari,66.433,90.0908,-0.4615376291880408,1125,0.866691311111808,4,4,1,0.15008,0.985,0.985,0.985,0.985,0.985,10.538739999999999,0.5707,0.95,1:06.433,1:30.091,-0.462s/lap
VER,Red Bull Racing,66.5,90.1772,-0.46855035251061666,1100,0.8587568914128281,5,5,1,0.11972,0.2432620462254223,0.47138,0.54022,0.8640696648410625,0.8640696648410625,9.229919999999998,0.60834,0.71,1:06.500,1:30.177,-0.469s/lap
NOR,McLaren,66.527,90.5152,-0.6155734770553156,1070,0.8355443969883111,6,7,1,0.09866,0.23145952288434418,0.44104,0.51202,0.8640696648410625,0.8640696648410625,8.608940000000002,0.51274,0.7,1:06.527,1:30.515,-0.616s/lap
PIA,McLaren,66.536,90.6964,-0.7901646009609207,1184,0.7394541032344745,7,6,1,0.09204,0.1531025214498012,0.42002,0.4895,0.8640696648410625,0.8640696648410625,8.253219999999999,0.48726,0.77,1:06.536,1:30.696,-0.790s/lap
HAD,Red Bull Racing,66.657,90.6844,-0.4786544633140154,999,0.6054729946394865,8,8,1,0.05498,0.060826842128859075,0.30504,0.36851999999999996,0.5416146342374623,0.5416146342374623,6.111879999999998,0.39166,0.76,1:06.657,1:30.684,-0.479s/lap
LAW,Racing Bulls,66.98,91.5072,-0.34629348131078763,1024,0.5495068085935751,9,10,1,0.02542,0.04690816424245999,0.20214000000000001,0.25832,0.37699448731629237,0.37699448731629237,4.19894,0.48062,0.9,1:06.980,1:31.507,-0.346s/lap
LIN,Racing Bulls,67.032,91.2995,-0.22323327095238937,1075,0.5381718003265553,10,9,1,0.03046,0.04690816424245999,0.21862,0.27608,0.37699448731629237,0.37699448731629237,4.5469800000000005,0.51938,0.78,1:07.032,1:31.299,-0.223s/lap
BOR,Audi,67.318,91.1471,-0.5346181964859527,986,0.48413445129341637,11,12,1,0.01458,0.04072208518183817,0.13235999999999998,0.17413999999999996,0.2718015497618591,0.2718015497618591,2.86178,0.49714,0.78,1:07.318,1:31.147,-0.535s/lap
GAS,Alpine,67.248,91.342,-0.38464927541546057,1063,0.4609641799724533,12,13,1,0.01734,0.04072208518183817,0.15888,0.20668,0.2718015497618591,0.2718015497618591,3.41282,0.52068,0.9,1:07.248,1:31.342,-0.385s/lap
HUL,Audi,67.636,91.6782,-0.7475818626419398,1082,0.44124905119532876,13,11,1,0.01596,0.04072208518183817,0.1369,0.17828,0.2718015497618591,0.2718015497618591,2.94372,0.50286,0.7,1:07.636,1:31.678,-0.748s/lap
COL,Alpine,67.919,91.55199999999999,-0.5651312747296601,1041,0.368818409263444,14,14,1,0.01492,0.04072208518183817,0.14056000000000002,0.18480000000000002,0.2718015497618591,0.2718015497618591,3.0580600000000002,0.47932,0.93,1:07.919,1:31.552,-0.565s/lap
BEA,Haas F1 Team,67.548,92.2929,-0.2825976431115936,1108,0.32801471050475456,15,15,1,0.01034,0.04072208518183817,0.10522000000000001,0.14294,0.2718015497618591,0.2718015497618591,2.3693999999999997,0.51864,0.8,1:07.548,1:32.293,-0.283s/lap
OCO,Haas F1 Team,67.842,92.1891,-0.13303590496054954,1067,0.2869841893320879,16,16,1,0.00956,0.04072208518183817,0.0973,0.13041999999999998,0.2718015497618591,0.2718015497618591,2.1933599999999998,0.48136,0.91,1:07.842,1:32.189,-0.133s/lap
SAI,Williams,68.277,92.2526,-0.20148531014574983,1061,0.2823578681585323,17,17,1,0.00694,0.04072208518183817,0.08021999999999999,0.10889999999999998,0.2494878963412217,0.2494878963412217,1.85526,0.55456,0.8,1:08.277,1:32.253,-0.201s/lap
ALB,Williams,68.534,92.3063,-0.3266821697212265,1072,0.218735806100263,18,18,1,0.00446,0.04072208518183817,0.056139999999999995,0.0779,0.2494878963412217,0.2494878963412217,1.34804,0.44544,0.7,1:08.534,1:32.306,-0.327s/lap
PER,Cadillac,68.97,92.5769,-0.36552692591188574,810,0.18634555815072135,19,19,1,0.0032,0.03895389758367711,0.04542,0.06484000000000001,0.2494878963412217,0.2494878963412217,1.1307199999999997,0.57286,0.826,1:08.970,1:32.577,-0.366s/lap
BOT,Cadillac,69.055,93.2397,-0.17171792588850696,826,0.11821226490252607,20,20,1,0.00172,0.03170071988509802,0.03170071988509802,0.037880000000000004,0.14270112639959998,0.14270112639959998,0.6728600000000001,0.42714,0.7,1:09.055,1:33.240,-0.172s/lap
ALO,Aston Martin,69.967,94.0774,-0.7872689751533676,725,0.020877821623869926,21,21,1,0.00044,0.03170071988509802,0.03170071988509802,0.03170071988509802,0.0531277462396128,0.0531277462396128,0.23493999999999998,0.61804,0.85,1:09.967,1:34.077,-0.787s/lap
STR,Aston Martin,70.388,94.1128,-0.12544292493720754,629,0.0,22,22,1,0.00016,0.03170071988509802,0.03170071988509802,0.03170071988509802,0.0531277462396128,0.0531277462396128,0.09752000000000001,0.38196,0.7,1:10.388,1:34.113,-0.125s/lap
