,ANT,RUS,LEC,HAM,VER,NOR,PIA,HAD,LAW,LIN,BOR,GAS,HUL,COL,BEA,OCO,SAI,ALB,PER,BOT,ALO,STR
ANT,0.0,0.5031,0.5322,0.4626,0.5103,0.5302,0.5428,0.6232,0.6937,0.6785,0.7569,0.7248,0.7523,0.7415,0.7732,0.7829,0.8008,0.8291,0.8412,0.869,0.9028,0.9154
RUS,0.4969,0.0,0.533,0.4637,0.5118,0.5292,0.5416,0.6214,0.6916,0.6753,0.7543,0.722,0.7511,0.7381,0.7713,0.7798,0.7972,0.8274,0.8391,0.8685,0.901,0.916
LEC,0.4678,0.467,0.0,0.4293,0.4791,0.4958,0.5087,0.59,0.6632,0.6478,0.7324,0.6954,0.7271,0.7147,0.7485,0.7588,0.778,0.8084,0.8221,0.8567,0.8943,0.9144
HAM,0.5374,0.5363,0.5707,0.0,0.5461,0.566,0.5774,0.6543,0.7228,0.7047,0.7786,0.7506,0.7738,0.7618,0.7919,0.7983,0.8153,0.8406,0.8516,0.8778,0.9036,0.9175
VER,0.4897,0.4882,0.5209,0.4539,0.0,0.5193,0.5281,0.6083,0.6708,0.6588,0.7313,0.699,0.7278,0.7162,0.7458,0.7553,0.7709,0.7946,0.8087,0.8328,0.8625,0.8757
NOR,0.4698,0.4708,0.5042,0.434,0.4807,0.0,0.5127,0.593,0.6604,0.6486,0.7264,0.693,0.7225,0.7069,0.7401,0.7503,0.7689,0.7968,0.8105,0.8392,0.8718,0.8868
PIA,0.4572,0.4584,0.4913,0.4226,0.4719,0.4873,0.0,0.5806,0.6506,0.6348,0.716,0.6823,0.7133,0.697,0.7339,0.7436,0.762,0.7908,0.8036,0.8363,0.8707,0.8866
HAD,0.3768,0.3786,0.41,0.3457,0.3917,0.407,0.4194,0.0,0.5722,0.5537,0.649,0.6052,0.6452,0.6245,0.664,0.6763,0.6999,0.732,0.7502,0.7899,0.8375,0.8617
LAW,0.3063,0.3084,0.3368,0.2772,0.3292,0.3396,0.3494,0.4278,0.0,0.4806,0.5876,0.5366,0.5858,0.5579,0.6051,0.6216,0.6468,0.6921,0.7145,0.7707,0.8419,0.8827
LIN,0.3215,0.3247,0.3522,0.2953,0.3412,0.3514,0.3652,0.4463,0.5194,0.0,0.6082,0.5557,0.603,0.5787,0.6244,0.6408,0.6686,0.7123,0.7339,0.788,0.8543,0.8913
BOR,0.2431,0.2457,0.2676,0.2214,0.2687,0.2736,0.284,0.351,0.4124,0.3918,0.0,0.4415,0.4971,0.4636,0.5111,0.5237,0.5546,0.599,0.6248,0.6825,0.7652,0.8091
GAS,0.2752,0.278,0.3046,0.2494,0.301,0.307,0.3177,0.3948,0.4634,0.4443,0.5585,0.0,0.5524,0.5207,0.5744,0.589,0.6186,0.6697,0.6927,0.7587,0.8436,0.89
HUL,0.2477,0.2489,0.2729,0.2262,0.2722,0.2775,0.2867,0.3548,0.4142,0.397,0.5029,0.4476,0.0,0.4704,0.5167,0.5273,0.5589,0.6049,0.6266,0.688,0.7661,0.8109
COL,0.2585,0.2619,0.2853,0.2382,0.2838,0.2931,0.303,0.3755,0.4421,0.4213,0.5364,0.4793,0.5296,0.0,0.5497,0.5673,0.5966,0.6476,0.6752,0.7403,0.8334,0.8875
BEA,0.2268,0.2287,0.2515,0.2081,0.2542,0.2599,0.2661,0.336,0.3949,0.3756,0.4889,0.4256,0.4833,0.4503,0.0,0.5186,0.5471,0.6001,0.6292,0.7003,0.7982,0.8595
OCO,0.2171,0.2202,0.2412,0.2017,0.2447,0.2497,0.2564,0.3237,0.3784,0.3592,0.4763,0.411,0.4727,0.4327,0.4814,0.0,0.5316,0.5838,0.6105,0.6823,0.7833,0.8492
SAI,0.1992,0.2028,0.222,0.1847,0.2291,0.2311,0.238,0.3001,0.3532,0.3314,0.4454,0.3814,0.4411,0.4034,0.4529,0.4684,0.0,0.5546,0.5779,0.6544,0.7593,0.8248
ALB,0.1709,0.1726,0.1916,0.1594,0.2054,0.2032,0.2092,0.268,0.3079,0.2877,0.401,0.3303,0.3951,0.3524,0.3999,0.4162,0.4454,0.0,0.5309,0.6044,0.7208,0.802
PER,0.1588,0.1609,0.1779,0.1484,0.1913,0.1895,0.1964,0.2498,0.2855,0.2661,0.3752,0.3073,0.3734,0.3248,0.3708,0.3895,0.4221,0.4691,0.0,0.5729,0.6878,0.7673
BOT,0.131,0.1315,0.1433,0.1222,0.1672,0.1608,0.1637,0.2101,0.2293,0.212,0.3175,0.2413,0.312,0.2597,0.2997,0.3177,0.3456,0.3956,0.4271,0.0,0.6303,0.7294
ALO,0.0972,0.099,0.1057,0.0964,0.1375,0.1282,0.1293,0.1625,0.1581,0.1457,0.2348,0.1564,0.2339,0.1666,0.2018,0.2167,0.2407,0.2792,0.3122,0.3697,0.0,0.618
STR,0.0846,0.084,0.0856,0.0825,0.1243,0.1132,0.1134,0.1383,0.1173,0.1087,0.1909,0.11,0.1891,0.1125,0.1405,0.1508,0.1752,0.198,0.2327,0.2706,0.382,0.0
