Driver,Team,BestLap_s,TheoreticalBest_s,QualiScore_s,Pace_norm,Prior,QualScore,PredPos,P_Pole,P_Top3,P_Q3,P_Q2,PosLow,PosHigh,PosExp,Fascia,BestLap_fmt,Theo_fmt
ANT,Mercedes,104.78101538461537,104.8046,104.45101538461537,1.0,0.843,0.99215,1,0.41548,0.8369599999999999,0.9999,1.0,1,4,2.2,P1-P4,1:44.781,1:44.451
RUS,Mercedes,104.79691538461539,104.8401,104.46691538461539,0.9977726365108711,0.807,0.9882340046853275,2,0.37628,0.81738,0.9998999999999998,0.9999999999999998,1,4,2.3,P1-P4,1:44.797,1:44.467
LEC,Ferrari,105.10946923076924,105.0735,105.09746923076924,0.9094410255139243,0.803,0.9041189742382281,3,0.06744,0.37363999999999997,0.9948,0.9999399999999999,2,7,4.4,P2-P7,1:45.109,1:45.097
HAM,Ferrari,105.14496923076923,105.098,105.13296923076923,0.9044679812457486,0.807,0.8995945821834611,4,0.06152,0.35038,0.9945799999999999,0.9999999999999998,2,7,4.5,P2-P7,1:45.145,1:45.133
VER,Red Bull Racing,105.3058,105.2941,105.2218,0.8920240559567141,0.766,0.8857228531588783,5,0.04072,0.26812,0.98972,0.9999400000000002,2,8,5.0,P2-P8,1:45.306,1:45.222
PIA,McLaren,105.2131,105.1968,105.3331,0.8764325115328275,0.741,0.8696608859561862,6,0.0253,0.19704,0.98144,0.99986,3,8,5.5,P3-P8,1:45.213,1:45.333
NOR,McLaren,105.4405,105.4349,105.5605,0.8445770110656952,0.764,0.8405481605124103,7,0.01076,0.11194,0.9592200000000001,0.9994000000000002,3,9,6.4,P3-P9,1:45.441,1:45.561
HAD,Red Bull Racing,105.9112,105.9267,105.82719999999999,0.8072161404650633,0.7,0.8018553334418101,8,0.0024,0.03702,0.88214,0.9969800000000001,5,11,7.8,P5-P11,1:45.911,1:45.827
LIN,Racing Bulls,106.5367,106.5595,106.38669999999999,0.7288381610835313,0.668,0.7257962530293547,9,6e-05,0.00304,0.5419,0.96108,7,14,10.5,P7-P14,1:46.537,1:46.387
LAW,Racing Bulls,106.5754,106.5728,106.4254,0.7234168424024486,0.707,0.7225960002823262,10,2e-05,0.00324,0.5348,0.95846,7,14,10.5,P7-P14,1:46.575,1:46.425
HUL,Audi,106.5912,106.5946,106.6632,0.6901044500933711,0.644,0.6877992275887025,11,2e-05,0.0005200000000000001,0.31852,0.8911600000000001,9,16,11.9,P9-P16,1:46.591,1:46.663
BOR,Audi,106.7444,106.7312,106.8164,0.6686433125754969,0.663,0.6683611469467221,12,0.0,0.00036,0.23558,0.8380000000000001,9,16,12.6,P9-P16,1:46.744,1:46.816
GAS,Alpine,106.7896,106.8279,106.8796,0.6597898929206043,0.72,0.662800398274574,13,0.0,0.00028,0.22228000000000003,0.8299,9,16,12.7,P9-P16,1:46.790,1:46.880
COL,Alpine,106.9365,106.9815,107.0265,0.6392112956531384,0.704,0.6424507308704814,14,0.0,6e-05,0.1478,0.74924,10,17,13.5,P10-P17,1:46.936,1:47.026
BEA,Haas F1 Team,107.07900000000001,107.0772,107.10900000000001,0.6276542209454044,0.703,0.6314215098981342,15,0.0,2e-05,0.11492,0.6957,10,17,13.9,P10-P17,1:47.079,1:47.109
OCO,Haas F1 Team,107.3534,107.3539,107.3834,0.5892146900387175,0.665,0.5930039555367816,16,0.0,0.0,0.04066,0.46892,12,18,15.2,P12-P18,1:47.353,1:47.383
SAI,Williams,107.2946,107.3198,107.42660000000001,0.5831629854644849,0.679,0.5879548361912607,17,0.0,0.0,0.036699999999999997,0.44594,12,18,15.3,P12-P18,1:47.295,1:47.427
ALB,Williams,107.6865,107.6583,107.8185,0.528263378458905,0.611,0.5324002095359597,18,0.0,0.0,0.00514,0.16452,15,18,16.9,P15-P18,1:47.686,1:47.819
PER,Cadillac,108.9269,108.9149,109.1789,0.3376907186722454,0.617,0.35165618273863314,19,0.0,0.0,0.0,0.00072,19,21,19.6,P19-P21,1:48.927,1:49.179
BOT,Cadillac,109.1306,109.0851,109.3826,0.3091552505756987,0.593,0.32334748804691377,20,0.0,0.0,0.0,0.00022,19,21,19.9,P19-P21,1:49.131,1:49.383
ALO,Aston Martin,109.48020000000001,109.3953,109.6902,0.26606487263510914,0.594,0.2824616290033537,21,0.0,0.0,0.0,2e-05,19,21,20.4,P19-P21,1:49.480,1:49.690
STR,Aston Martin,111.37950000000001,111.2646,111.5895,0.0,0.601,0.03005,22,0.0,0.0,0.0,0.0,22,22,22.0,P22-P22,1:51.380,1:51.590
