,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22
ANT,0.41548,0.27756,0.14392,0.07954,0.04374,0.02382,0.01038,0.00444,0.00082,0.0002,6e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUS,0.37628,0.28542,0.15568,0.08784,0.04904,0.02728,0.01152,0.00502,0.00154,0.00028,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEC,0.06744,0.12714,0.17906,0.18174,0.15774,0.12234,0.08522,0.04658,0.01944,0.0081,0.00298,0.00142,0.0004,0.0002,0.00014,6e-05,0.0,0.0,0.0,0.0,0.0,0.0
HAM,0.06152,0.11776,0.1711,0.17628,0.1626,0.1331,0.0905,0.0506,0.02196,0.00916,0.00324,0.00132,0.00062,0.00018,6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VER,0.04072,0.08622,0.14118,0.16674,0.16908,0.15338,0.11836,0.06962,0.03088,0.01354,0.006,0.00242,0.00116,0.00048,0.00016,4e-05,2e-05,0.0,0.0,0.0,0.0,0.0
PIA,0.0253,0.06306,0.10868,0.14168,0.16456,0.16632,0.14698,0.0966,0.04662,0.02164,0.01002,0.00484,0.00224,0.00096,0.00036,0.00012,2e-05,0.0,0.0,0.0,0.0,0.0
NOR,0.01076,0.03194,0.06924,0.102,0.13724,0.16536,0.17808,0.14106,0.08164,0.0419,0.02014,0.01114,0.00578,0.00222,0.0009,0.00038,0.00018,4e-05,0.0,0.0,0.0,0.0
HAD,0.0024,0.0094,0.02522,0.04798,0.07866,0.11956,0.17124,0.19932,0.14056,0.0878,0.05216,0.03178,0.01726,0.00934,0.0043,0.00208,0.0009,4e-05,0.0,0.0,0.0,0.0
LIN,6e-05,0.00068,0.0023,0.00614,0.01308,0.03148,0.06016,0.10886,0.15856,0.16058,0.13432,0.10654,0.08102,0.05852,0.03878,0.02366,0.0116,0.00356,0.0001,0.0,0.0,0.0
LAW,2e-05,0.00064,0.00258,0.00642,0.01398,0.0285,0.05842,0.10684,0.15902,0.15838,0.1353,0.10648,0.0818,0.05914,0.04094,0.02396,0.013,0.00454,4e-05,0.0,0.0,0.0
HUL,2e-05,4e-05,0.00046,0.00164,0.0041,0.01084,0.02406,0.05408,0.0955,0.12778,0.13872,0.13116,0.11888,0.10284,0.08104,0.05812,0.03592,0.01448,0.00032,0.0,0.0,0.0
BOR,0.0,0.00012,0.00024,0.0008,0.00222,0.0063,0.01492,0.03684,0.07356,0.10058,0.1201,0.13148,0.12924,0.11878,0.10282,0.08144,0.05582,0.02412,0.0006,2e-05,0.0,0.0
GAS,0.0,2e-05,0.00026,0.00074,0.00216,0.00538,0.0146,0.03438,0.06764,0.0971,0.1192,0.12916,0.13068,0.12186,0.10672,0.08758,0.0559,0.02578,0.00084,0.0,0.0,0.0
COL,0.0,0.0,6e-05,0.00028,0.0011,0.00284,0.00724,0.02204,0.04502,0.06922,0.09344,0.11304,0.12728,0.1328,0.13488,0.1155,0.08704,0.04614,0.00204,4e-05,0.0,0.0
BEA,0.0,0.0,2e-05,0.00016,0.0005,0.00266,0.00544,0.01458,0.03418,0.05738,0.08136,0.1005,0.12236,0.13718,0.13938,0.13252,0.10868,0.06008,0.00284,0.00018,0.0,0.0
OCO,0.0,0.0,0.0,2e-05,0.00012,0.0004,0.00148,0.00484,0.0115,0.0223,0.03946,0.05852,0.0805,0.10958,0.1402,0.17518,0.19818,0.14732,0.0094,0.00092,8e-05,0.0
SAI,0.0,0.0,0.0,0.0,8e-05,0.00044,0.00124,0.00394,0.01034,0.02066,0.03646,0.0562,0.07578,0.10314,0.13766,0.17746,0.20864,0.15726,0.00946,0.00114,0.0001,0.0
ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.00016,0.00036,0.00122,0.0034,0.00694,0.01392,0.02496,0.04256,0.071,0.11974,0.214,0.44314,0.05004,0.00766,0.0009,0.0
PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,2e-05,0.0002,0.00046,0.0017,0.00714,0.04494,0.47406,0.30686,0.16386,0.00072
BOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,2e-05,0.00018,0.00036,0.00244,0.0216,0.3044,0.39382,0.27522,0.00194
ALO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0001,0.00052,0.00696,0.14582,0.28862,0.55114,0.00682
STR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.00074,0.0087,0.99052
