evento,driver,codice,prob_mercato,volume,data
Honda Indy 200 at Mid-Ohio: Race Winner,Patricio O'Ward,,0.905,77.02000000000001,2026-06-24
Honda Indy 200 at Mid-Ohio: Pole Position,Christian Lundgaard,,0.905,121.9901,2026-06-24
F1 Constructors' Champion,Mercedes,,0.855,871887.7815489958,2025-12-09
F1 Drivers' Champion,Kimi Antonelli,ANT,0.5845,3639653.8412849824,2025-12-09
Will there be a safety car during the 2026 F1 Belgian Grand Prix?,Will there be a safety car during the 2026 F1 Belgian Grand Prix?,,0.5,,2026-06-20
Will there be a red flag during the 2026 F1 Belgian Grand Prix?,Will there be a red flag during the 2026 F1 Belgian Grand Prix?,,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Pierre Gasly,GAS,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Fernando Alonso,ALO,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Alexander Albon,ALB,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Gabriel Bortoleto,BOR,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Charles Leclerc,LEC,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Esteban Ocon,OCO,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Lando Norris,NOR,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Kimi Antonelli,ANT,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Max Verstappen,VER,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Franco Colapinto,COL,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Carlos Sainz Jr.,SAI,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Nico Hulkenberg,HUL,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Valtteri Bottas,BOT,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Lewis Hamilton,HAM,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Oliver Bearman,BEA,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Oscar Piastri,PIA,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,George Russell,RUS,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Arvid Lindblad,LIN,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Isack Hadjar,HAD,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Liam Lawson,LAW,0.5,,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Lance Stroll,STR,0.5,,2026-06-20
Will there be a safety car during the 2026 F1 Hungarian Grand Prix?,Will there be a safety car during the 2026 F1 Hungarian Grand Prix?,,0.5,,2026-06-27
Will there be a red flag during the 2026 F1 Hungarian Grand Prix?,Will there be a red flag during the 2026 F1 Hungarian Grand Prix?,,0.5,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Alexander Albon,ALB,0.5,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Gabriel Bortoleto,BOR,0.5,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Max Verstappen,VER,0.5,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Carlos Sainz Jr.,SAI,0.5,,2026-06-27
