Driver,Team,BestLap_s,LongRunPace_s,Degradation_s_per_lap,TotalLaps,CompositeScore,PredictedPosition,GridPos,_has_pace,P_Win,P_Podium,P_Top5,P_Top6,P_Top10,P_DNF,P_Points,ExpectedPoints,P_BeatTeammate,Reliability,BestLap_fmt,RacePace_fmt,Degradation_fmt
ANT,Mercedes,66.439,89.8,-0.714002291821852,1080,0.9903555588251371,1,1,1,0.12504,0.27440925496122515,0.49739999999999995,0.56704,0.8723543483624583,0.06479983704182993,0.8723543483624583,9.669139999999999,0.50286,0.88,1:06.439,1:29.800,-0.714s/lap
RUS,Mercedes,66.138,90.1608,-0.407217250099193,1232,0.9821337705266354,2,2,1,0.12088,0.2986201286204235,0.49642,0.5657599999999999,0.8723543483624583,0.06479983704182993,0.8723543483624583,9.61702,0.49714,0.88,1:06.138,1:30.161,-0.407s/lap
LEC,Ferrari,66.374,89.9888,-0.4232445339173481,1233,0.8913886697831273,3,3,1,0.0969,0.21403940342027414,0.44656,0.51676,0.8723543483624583,0.06479983704182993,0.8723543483624583,8.641399999999999,0.42774,0.846,1:06.374,1:29.989,-0.423s/lap
HAM,Ferrari,66.433,90.0908,-0.4901491735204638,1163,0.866655925272893,4,4,1,0.15786,0.985,0.985,0.985,0.985,0.06479983704182993,0.985,10.788,0.57226,0.95,1:06.433,1:30.091,-0.490s/lap
VER,Red Bull Racing,66.5,90.1772,-0.4569097726075517,1145,0.8589937473715606,5,5,1,0.12756,0.26931222892770984,0.48530000000000006,0.5543800000000001,0.8723543483624583,0.10764396459183984,0.8723543483624583,9.517140000000001,0.60992,0.71,1:06.500,1:30.177,-0.457s/lap
NOR,McLaren,66.527,90.5152,-0.6177760505961297,1107,0.7251868374763637,6,7,1,0.07302,0.14431766502085325,0.36354000000000003,0.43434000000000006,0.7621836750018773,0.09161076961788707,0.7621836750018773,7.246700000000001,0.48626,0.7,1:06.527,1:30.515,-0.618s/lap
PIA,McLaren,66.536,90.6964,-0.7822439198630132,1216,0.6775652117536167,7,6,1,0.08084,0.14431766502085325,0.3893,0.45904,0.7621836750018773,0.09161076961788707,0.7621836750018773,7.68154,0.51374,0.77,1:06.536,1:30.696,-0.782s/lap
HAD,Red Bull Racing,66.657,90.6844,-0.4875764513710365,1042,0.605544651744272,8,8,1,0.0548,0.06221114414258781,0.31526000000000004,0.37934,0.612965168045141,0.10764396459183984,0.612965168045141,6.249340000000001,0.39008,0.76,1:06.657,1:30.684,-0.488s/lap
LAW,Racing Bulls,66.98,91.5072,-0.33597346132527656,1064,0.5495544780757375,9,10,1,0.0268,0.04982636166374331,0.2084,0.26484,0.38060910329439274,0.06676346846733992,0.38060910329439274,4.325379999999999,0.4822,0.9,1:06.980,1:31.507,-0.336s/lap
LIN,Racing Bulls,67.032,91.2995,-0.2257805982279109,1119,0.5382527123773094,10,9,1,0.03042,0.04982636166374331,0.22292,0.28258,0.38060910329439274,0.06676346846733992,0.38060910329439274,4.6085199999999995,0.5178,0.78,1:07.032,1:31.299,-0.226s/lap
