,ANT,RUS,LEC,HAM,VER,NOR,PIA,HAD,LAW,LIN,BOR,GAS,HUL,COL,BEA,OCO,SAI,ALB,PER,BOT,ALO,STR
ANT,0.0,0.5029,0.5334,0.4627,0.5113,0.5845,0.5673,0.6237,0.6933,0.6815,0.7605,0.7273,0.7549,0.7418,0.7741,0.7853,0.8072,0.835,0.8463,0.88,0.9067,0.9216
RUS,0.4971,0.0,0.5314,0.4617,0.5085,0.5831,0.5675,0.6212,0.6925,0.6795,0.7566,0.7235,0.7542,0.7404,0.7726,0.7846,0.8041,0.8335,0.8466,0.8765,0.9063,0.9209
LEC,0.4666,0.4686,0.0,0.4277,0.4742,0.5508,0.5348,0.5901,0.665,0.6496,0.7324,0.696,0.7267,0.7145,0.7507,0.7636,0.7861,0.8148,0.8302,0.8642,0.8998,0.9166
HAM,0.5373,0.5383,0.5723,0.0,0.5467,0.6175,0.6047,0.6556,0.7225,0.7122,0.781,0.7518,0.7762,0.7664,0.796,0.8086,0.8231,0.8481,0.8589,0.8864,0.9096,0.9238
VER,0.4887,0.4915,0.5258,0.4533,0.0,0.5734,0.5576,0.6099,0.6768,0.6634,0.7361,0.7036,0.7322,0.7199,0.749,0.7623,0.7813,0.8049,0.8156,0.8434,0.8692,0.8813
NOR,0.4155,0.4169,0.4492,0.3825,0.4266,0.0,0.4863,0.5398,0.6167,0.6014,0.6893,0.6485,0.684,0.6682,0.7052,0.7196,0.7438,0.7765,0.7938,0.8316,0.8684,0.8887
PIA,0.4327,0.4325,0.4652,0.3953,0.4424,0.5137,0.0,0.5524,0.6278,0.6117,0.7011,0.6617,0.697,0.6779,0.7167,0.7288,0.7522,0.785,0.7992,0.8359,0.8724,0.8903
HAD,0.3763,0.3788,0.4099,0.3444,0.3901,0.4602,0.4476,0.0,0.5718,0.5595,0.6524,0.6058,0.6471,0.6255,0.6676,0.6841,0.7097,0.7442,0.7624,0.8067,0.8459,0.8687
LAW,0.3067,0.3075,0.335,0.2775,0.3232,0.3833,0.3722,0.4282,0.0,0.4822,0.5875,0.5349,0.5832,0.5587,0.6038,0.6223,0.6565,0.7008,0.7262,0.7831,0.8475,0.8856
LIN,0.3185,0.3205,0.3504,0.2878,0.3366,0.3986,0.3883,0.4405,0.5178,0.0,0.6091,0.5544,0.5997,0.5792,0.6239,0.644,0.6756,0.722,0.7412,0.8021,0.8612,0.8957
BOR,0.2395,0.2434,0.2676,0.219,0.2639,0.3107,0.2989,0.3476,0.4125,0.3909,0.0,0.4428,0.4926,0.4615,0.5113,0.5302,0.5652,0.6114,0.6381,0.7025,0.7738,0.8166
GAS,0.2727,0.2765,0.304,0.2482,0.2964,0.3515,0.3383,0.3942,0.4651,0.4456,0.5572,0.0,0.5504,0.5222,0.5703,0.5949,0.6277,0.6785,0.7051,0.771,0.8496,0.8961
HUL,0.2451,0.2458,0.2733,0.2238,0.2678,0.316,0.303,0.3529,0.4168,0.4003,0.5074,0.4496,0.0,0.4695,0.5139,0.534,0.573,0.6157,0.6428,0.7066,0.7775,0.8212
COL,0.2582,0.2596,0.2855,0.2336,0.2801,0.3318,0.3221,0.3745,0.4413,0.4208,0.5385,0.4778,0.5305,0.0,0.5493,0.5711,0.6079,0.6599,0.6882,0.7555,0.8391,0.8908
BEA,0.2259,0.2274,0.2493,0.204,0.251,0.2948,0.2833,0.3324,0.3962,0.3761,0.4887,0.4297,0.4861,0.4507,0.0,0.5189,0.5614,0.6135,0.6468,0.7184,0.8072,0.8634
OCO,0.2147,0.2154,0.2364,0.1914,0.2377,0.2804,0.2712,0.3159,0.3777,0.356,0.4698,0.4051,0.466,0.4289,0.4811,0.0,0.5395,0.5901,0.6238,0.6981,0.7909,0.8502
SAI,0.1928,0.1959,0.2139,0.1769,0.2187,0.2562,0.2478,0.2903,0.3435,0.3244,0.4348,0.3723,0.427,0.3921,0.4386,0.4605,0.0,0.5497,0.5824,0.6565,0.7496,0.81
ALB,0.165,0.1665,0.1852,0.1519,0.1951,0.2235,0.215,0.2558,0.2992,0.278,0.3886,0.3215,0.3843,0.3401,0.3865,0.4099,0.4503,0.0,0.537,0.6118,0.7158,0.7907
PER,0.1537,0.1534,0.1698,0.1411,0.1844,0.2062,0.2008,0.2376,0.2738,0.2588,0.3619,0.2949,0.3572,0.3118,0.3532,0.3762,0.4176,0.463,0.0,0.5735,0.6706,0.7458
BOT,0.12,0.1235,0.1358,0.1136,0.1566,0.1684,0.1641,0.1933,0.2169,0.1979,0.2975,0.229,0.2934,0.2445,0.2816,0.3019,0.3435,0.3882,0.4265,0.0,0.6073,0.6977
ALO,0.0933,0.0937,0.1002,0.0904,0.1308,0.1316,0.1276,0.1541,0.1525,0.1388,0.2262,0.1504,0.2225,0.1609,0.1928,0.2091,0.2504,0.2842,0.3294,0.3927,0.0,0.6098
STR,0.0784,0.0791,0.0834,0.0762,0.1187,0.1113,0.1097,0.1313,0.1144,0.1043,0.1834,0.1039,0.1788,0.1092,0.1366,0.1498,0.19,0.2093,0.2542,0.3023,0.3902,0.0
