,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P_BeatTeammate,P_DNF
ANT,0.12504,0.10896,0.09616,0.08878,0.07846,0.06964,0.06248,0.05428,0.04912,0.04214,0.033,0.02874,0.02412,0.02058,0.01722,0.01264,0.00922,0.0082,0.00846,0.01442,0.02026,0.02808,0.50286,0.06479983704182993
RUS,0.12088,0.10964,0.1004,0.08868,0.07682,0.06934,0.06344,0.05332,0.04706,0.04038,0.03476,0.02932,0.02452,0.02146,0.01642,0.01262,0.00978,0.0083,0.00944,0.01332,0.0216,0.0285,0.49714,0.06479983704182993
LEC,0.0969,0.09776,0.08922,0.08348,0.0792,0.0702,0.06348,0.05934,0.05122,0.04488,0.0411,0.0341,0.02878,0.02518,0.01974,0.01632,0.01284,0.00988,0.01038,0.0153,0.02274,0.02796,0.42774,0.06479983704182993
HAM,0.15786,0.12388,0.10622,0.08932,0.0777,0.06576,0.05652,0.04686,0.0407,0.03548,0.02936,0.0245,0.0207,0.01728,0.0132,0.01056,0.00788,0.00698,0.00862,0.01232,0.02038,0.02792,0.57226,0.06479983704182993
VER,0.12756,0.10642,0.09178,0.08376,0.07578,0.06908,0.06148,0.05568,0.0454,0.03792,0.03166,0.02476,0.02086,0.01564,0.01248,0.0096,0.00864,0.00826,0.01186,0.0201,0.0345,0.04678,0.60992,0.10764396459183984
NOR,0.07302,0.07548,0.07426,0.06984,0.07094,0.0708,0.06726,0.06362,0.06042,0.0559,0.04918,0.0403,0.0328,0.02798,0.0217,0.01714,0.01402,0.01214,0.01394,0.01894,0.03046,0.03986,0.48626,0.09161076961788707
PIA,0.08084,0.08158,0.07888,0.07618,0.07182,0.06974,0.06644,0.06406,0.05604,0.05166,0.04474,0.03724,0.032,0.02574,0.02014,0.01548,0.01348,0.0116,0.01276,0.01966,0.03034,0.03958,0.51374,0.09161076961788707
HAD,0.0548,0.0618,0.06436,0.06718,0.06712,0.06408,0.06372,0.06268,0.06022,0.05806,0.05162,0.04588,0.03976,0.03314,0.02784,0.02296,0.01686,0.01532,0.01664,0.02404,0.03478,0.04714,0.39008,0.10764396459183984
LAW,0.0268,0.03466,0.04468,0.04894,0.05332,0.05644,0.06014,0.06122,0.06118,0.06122,0.05804,0.05946,0.05582,0.05534,0.04796,0.04182,0.03756,0.0302,0.02498,0.02376,0.02572,0.03074,0.4822,0.06676346846733992
LIN,0.03042,0.04048,0.04726,0.0515,0.05326,0.05966,0.05808,0.0603,0.06432,0.06428,0.06648,0.06136,0.05874,0.05188,0.04554,0.03834,0.02988,0.0246,0.01976,0.02096,0.02442,0.02848,0.5178,0.06676346846733992
BOR,0.01562,0.02292,0.0277,0.03298,0.03722,0.0406,0.0434,0.0479,0.05256,0.05436,0.05864,0.06072,0.06254,0.0636,0.06138,0.05296,0.04682,0.0402,0.03616,0.03656,0.04618,0.05898,0.49256,0.13297712013553706
GAS,0.01826,0.02744,0.03416,0.03932,0.04722,0.04994,0.05404,0.05536,0.0586,0.06256,0.06504,0.06406,0.06318,0.06132,0.05866,0.05542,0.04872,0.03926,0.03234,0.02466,0.02108,0.01936,0.52222,0.04337777326682497
HUL,0.01736,0.02444,0.02862,0.03388,0.03702,0.0414,0.04622,0.04766,0.0505,0.0552,0.05916,0.06234,0.0661,0.06156,0.05812,0.05294,0.04398,0.0387,0.0325,0.0369,0.04598,0.05942,0.50744,0.13297712013553706
COL,0.01528,0.02252,0.03032,0.0362,0.0406,0.04552,0.04922,0.0538,0.05912,0.06116,0.06318,0.06648,0.06558,0.0664,0.06242,0.05886,0.05482,0.04462,0.03472,0.02746,0.0216,0.02012,0.47778,0.04337777326682497
BEA,0.01118,0.01664,0.02326,0.02686,0.03186,0.03748,0.04288,0.04608,0.05006,0.05398,0.05952,0.06658,0.07032,0.07244,0.07288,0.06922,0.0634,0.05378,0.04162,0.02966,0.02942,0.03088,0.51886,0.06479983704182993
OCO,0.00944,0.01568,0.01914,0.02432,0.02828,0.0343,0.03898,0.0438,0.04958,0.05264,0.05828,0.06402,0.0681,0.07042,0.07148,0.07142,0.06718,0.0608,0.04896,0.03942,0.03224,0.03152,0.48114,0.06479983704182993
SAI,0.00768,0.011,0.01572,0.0215,0.026,0.028,0.03336,0.03846,0.04334,0.04772,0.05394,0.05826,0.06468,0.06834,0.07626,0.07774,0.07128,0.0615,0.05264,0.04474,0.04712,0.05072,0.54974,0.1109059029128047
ALB,0.00444,0.0079,0.0109,0.01504,0.01798,0.0219,0.02504,0.02998,0.0344,0.04182,0.04572,0.0532,0.05966,0.06952,0.08104,0.08674,0.08792,0.0808,0.06802,0.05474,0.05014,0.0531,0.45026,0.1109059029128047
PER,0.00396,0.00598,0.00948,0.01262,0.01624,0.01894,0.0219,0.02754,0.0318,0.03634,0.04228,0.05078,0.05682,0.06268,0.07068,0.0797,0.0824,0.08252,0.08052,0.07144,0.06754,0.06784,0.57346,0.15048809214184974
BOT,0.00206,0.00356,0.00538,0.00648,0.00836,0.01118,0.01346,0.01714,0.02024,0.0256,0.03122,0.03682,0.04394,0.05504,0.0666,0.08302,0.09868,0.10882,0.10618,0.0969,0.08202,0.0773,0.42654,0.15048809214184974
