Driver,Team,BestLap_s,TheoreticalBest_s,QualiScore_s,Pace_norm,Prior,QualScore,PredPos,P_Pole,P_Top3,P_Q3,P_Q2,PosLow,PosHigh,PosExp,Fascia,BestLap_fmt,Theo_fmt
ANT,Mercedes,105.9204153846154,105.94400000000002,105.9204153846154,1.0,0.843,0.99215,1,0.43172,0.78032,0.9954199999999999,0.9999199999999999,1,5,2.5,P1-P5,1:45.920,1:45.920
NOR,McLaren,106.1396,106.13399999999999,106.13959999999999,0.958842315542252,0.764,0.9491001997651394,2,0.21858,0.59762,0.9838199999999999,0.9997599999999999,1,7,3.5,P1-P7,1:46.140,1:46.140
VER,Red Bull Racing,106.4277,106.339,106.3507,0.9192027305568449,0.766,0.9115425940290026,3,0.1241,0.43654,0.96158,0.9988400000000001,1,9,4.5,P1-P9,1:46.428,1:46.351
HAD,Red Bull Racing,106.6985,106.446,106.4305,0.9042181787717435,0.7,0.8940072698331563,4,0.08052,0.33894,0.93858,0.99754,2,9,5.2,P2-P9,1:46.698,1:46.430
LEC,Ferrari,106.72396923076924,106.688,106.72396923076924,0.8491116012555013,0.803,0.8468060211927263,5,0.04068,0.20890000000000003,0.87472,0.99362,2,11,6.5,P2-P11,1:46.724,1:46.724
HAM,Ferrari,106.73796923076924,106.691,106.73796923076924,0.8464827325212735,0.807,0.8445085958952098,6,0.04004,0.20084000000000002,0.8751400000000001,0.9931400000000001,2,11,6.5,P2-P11,1:46.738,1:46.738
PIA,McLaren,106.9423,106.80499999999999,106.8213,0.8308351858191341,0.741,0.8263434265281774,7,0.02324,0.14198,0.81536,0.98788,3,12,7.3,P3-P12,1:46.942,1:46.821
RUS,Mercedes,106.85981538461539,106.903,106.85981538461539,0.8236029079332627,0.807,0.8227727625365996,8,0.02432,0.14264,0.8251000000000001,0.98946,3,12,7.2,P3-P12,1:46.860,1:46.860
COL,Alpine,107.10199999999999,107.089,107.044,0.7890173953110828,0.704,0.7847665255455286,9,0.00822,0.06536,0.6692400000000001,0.96752,4,14,8.9,P4-P14,1:47.102,1:47.044
LIN,Racing Bulls,107.2712,107.225,107.20219999999999,0.759311178614301,0.668,0.7547456196835859,10,0.0034,0.03276,0.53252,0.9391200000000001,5,15,10.1,P5-P15,1:47.271,1:47.202
GAS,Alpine,107.32169999999999,107.36,107.32169999999999,0.7368719062042779,0.72,0.736028310894064,11,0.00244,0.0245,0.47328,0.9169,6,15,10.6,P6-P15,1:47.322,1:47.322
LAW,Racing Bulls,107.4366,107.328,107.3306,0.7352006967946589,0.707,0.7337906619549259,12,0.00214,0.02184,0.45775999999999994,0.9135,6,15,10.7,P6-P15,1:47.437,1:47.331
BOR,Audi,107.9652,107.749,107.76219999999999,0.6541564292451567,0.663,0.6545986077828989,13,0.00016,0.00238,0.16894,0.6997599999999999,9,17,13.6,P9-P17,1:47.965,1:47.762
BEA,Haas F1 Team,107.7938,107.792,107.7938,0.6482226969593242,0.703,0.650961562111358,14,0.0003,0.0032199999999999998,0.16785999999999998,0.6994,9,17,13.6,P9-P17,1:47.794,1:47.794
OCO,Haas F1 Team,107.9575,107.958,107.9575,0.6174837104026671,0.665,0.6198595248825337,15,6e-05,0.00098,0.09246,0.5579000000000001,11,18,14.6,P11-P18,1:47.957,1:47.957
ALB,Williams,108.0472,107.96099999999998,107.98919999999998,0.6115312004830236,0.611,0.6115046404588723,16,8e-05,0.00062,0.07424,0.5054,11,18,15.0,P11-P18,1:48.047,1:47.989
HUL,Audi,108.3296,108.112,108.1086,0.5891107057068143,0.644,0.5918551704214736,17,0.0,0.0004,0.054860000000000006,0.43434,12,18,15.5,P12-P18,1:48.330,1:48.109
SAI,Williams,108.2308,108.256,108.2308,0.5661644371837606,0.679,0.5718062153245727,18,0.0,0.00016,0.03826,0.36406,12,19,15.9,P12-P19,1:48.231,1:48.231
BOT,Cadillac,109.2445,108.989,109.03450000000001,0.4152485942052222,0.593,0.42413616449496105,19,0.0,0.0,0.00074,0.029679999999999998,17,20,18.9,P17-P20,1:49.245,1:49.035
PER,Cadillac,109.608,109.245,109.257,0.373468358964804,0.617,0.38564494101656377,20,0.0,0.0,0.00012000000000000002,0.01226,18,20,19.3,P18-P20,1:49.608,1:49.257
ALO,Aston Martin,111.50290000000001,111.158,111.2429,0.0005633290144775316,0.594,0.030235162563753654,21,0.0,0.0,0.0,0.0,21,22,21.5,P21-P22,1:51.503,1:51.243
STR,Aston Martin,111.2459,111.131,111.2459,0.0,0.601,0.03005,22,0.0,0.0,0.0,0.0,21,22,21.5,P21-P22,1:51.246,1:51.246
