,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22
ANT,0.43172,0.2174,0.1312,0.08122,0.05156,0.03448,0.02242,0.01294,0.00796,0.00452,0.00242,0.00116,0.00058,0.00022,0.00012,6e-05,2e-05,0.0,0.0,0.0,0.0,0.0
NOR,0.21858,0.21472,0.16432,0.1214,0.0877,0.06504,0.0468,0.03136,0.02072,0.01318,0.00762,0.0049,0.00186,0.00102,0.00054,0.00014,8e-05,0.0,0.0,2e-05,0.0,0.0
VER,0.1241,0.1587,0.15374,0.13732,0.11108,0.0885,0.07094,0.05306,0.03806,0.02608,0.0169,0.01044,0.00542,0.00324,0.00126,0.00072,0.00034,0.0001,0.0,0.0,0.0,0.0
HAD,0.08052,0.1226,0.13582,0.13272,0.11746,0.10344,0.0866,0.06898,0.05242,0.03802,0.0243,0.01652,0.00988,0.00566,0.0026,0.00164,0.00068,0.00012,0.0,2e-05,0.0,0.0
LEC,0.04068,0.07198,0.09624,0.1073,0.11446,0.11234,0.10236,0.09012,0.0793,0.05994,0.04626,0.03294,0.02046,0.0125,0.00674,0.00396,0.00176,0.00054,0.00012,0.0,0.0,0.0
HAM,0.04004,0.06842,0.09238,0.10794,0.1172,0.11158,0.10372,0.09378,0.07898,0.0611,0.04564,0.0312,0.02178,0.01266,0.00672,0.00428,0.0019,0.00054,0.0001,4e-05,0.0,0.0
PIA,0.02324,0.04828,0.07046,0.08564,0.09926,0.10588,0.10832,0.1038,0.09384,0.07664,0.06248,0.0454,0.03278,0.01942,0.01244,0.0074,0.00342,0.0011,0.0002,0.0,0.0,0.0
RUS,0.02432,0.04986,0.06846,0.08972,0.10326,0.10792,0.10896,0.1017,0.09364,0.07726,0.06002,0.04494,0.03032,0.01842,0.01066,0.00618,0.00296,0.00116,0.0002,4e-05,0.0,0.0
COL,0.00822,0.02078,0.03636,0.04994,0.06744,0.08144,0.09124,0.10414,0.10416,0.10552,0.09264,0.07672,0.06016,0.04194,0.02682,0.01886,0.00842,0.00432,0.0008,8e-05,0.0,0.0
LIN,0.0034,0.01018,0.01918,0.0292,0.04226,0.05786,0.07318,0.08686,0.10046,0.10994,0.10852,0.10184,0.08324,0.06612,0.04688,0.0309,0.01874,0.00888,0.00216,0.0002,0.0,0.0
GAS,0.00244,0.00754,0.01452,0.02406,0.03492,0.04956,0.06394,0.07886,0.09268,0.10476,0.11202,0.10592,0.09218,0.07476,0.05874,0.03986,0.02706,0.01276,0.00292,0.0005,0.0,0.0
LAW,0.00214,0.00738,0.01232,0.02244,0.0318,0.04606,0.06046,0.07808,0.09136,0.10572,0.1107,0.10786,0.09802,0.0784,0.06076,0.04284,0.0271,0.01324,0.00276,0.00056,0.0,0.0
BOR,0.00016,0.00066,0.00156,0.00378,0.00746,0.01118,0.01772,0.02772,0.04066,0.05804,0.0735,0.09658,0.11338,0.12326,0.1241,0.11282,0.09394,0.06578,0.02246,0.00524,0.0,0.0
BEA,0.0003,0.00098,0.00194,0.00374,0.0069,0.01156,0.018,0.02724,0.04126,0.05594,0.07758,0.09692,0.1121,0.121,0.12394,0.11294,0.09398,0.0671,0.02188,0.00468,2e-05,0.0
OCO,6e-05,0.00026,0.00066,0.00142,0.00302,0.0052,0.01012,0.01526,0.02146,0.035,0.05334,0.07222,0.09384,0.11702,0.12902,0.14022,0.1332,0.11428,0.04402,0.01036,2e-05,0.0
ALB,8e-05,0.00012,0.00042,0.00116,0.00196,0.0037,0.00712,0.0117,0.01834,0.02964,0.04238,0.06286,0.08448,0.1095,0.13194,0.14384,0.15154,0.1299,0.0547,0.0146,2e-05,0.0
HUL,0.0,8e-05,0.00032,0.00074,0.00144,0.00258,0.00498,0.00862,0.01474,0.02136,0.03614,0.05046,0.07296,0.09742,0.1225,0.14642,0.16566,0.16082,0.07204,0.02064,8e-05,0.0
SAI,0.0,6e-05,0.0001,0.00026,0.00082,0.00166,0.00308,0.00572,0.00972,0.01684,0.0265,0.03904,0.06134,0.0865,0.11242,0.14144,0.17788,0.19376,0.09224,0.03056,6e-05,0.0
BOT,0.0,0.0,0.0,0.0,0.0,2e-05,2e-05,4e-05,0.0002,0.00046,0.00078,0.0017,0.00348,0.00816,0.01482,0.03004,0.05766,0.13674,0.38532,0.35656,0.00386,0.00014
PER,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,2e-05,4e-05,4e-05,0.00026,0.00038,0.00174,0.00278,0.00698,0.01544,0.03366,0.08886,0.29732,0.54356,0.00844,0.00046
ALO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.00618,0.49078,0.50274
STR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046,0.00616,0.49672,0.49666
