evento,tipo,driver,codice,prob_raw,prob_novig,volume,data
F1 Constructors' Champion,champ_costruttori,Mercedes,,0.85,0.847,885899.3006989957,2025-12-09
F1 Constructors' Champion,champ_costruttori,Ferrari,,0.12,0.1196,590677.0268230016,2025-12-09
F1 Constructors' Champion,champ_costruttori,McLaren,,0.0155,0.0154,1644503.020990992,2025-12-09
F1 Constructors' Champion,champ_costruttori,Red Bull Racing,,0.0055,0.0055,751328.4302939977,2025-12-09
F1 Constructors' Champion,champ_costruttori,Racing Bulls,,0.0035,0.0035,3097673.2157208733,2025-12-09
F1 Constructors' Champion,champ_costruttori,Williams,,0.0015,0.0015,3787142.635617895,2025-12-09
F1 Constructors' Champion,champ_costruttori,Aston Martin,,0.0015,0.0015,3127777.652286933,2025-12-09
F1 Constructors' Champion,champ_costruttori,Haas,,0.0015,0.0015,3304799.227210928,2025-12-09
F1 Constructors' Champion,champ_costruttori,Audi,,0.0015,0.0015,3224128.421026968,2025-12-09
F1 Constructors' Champion,champ_costruttori,Alpine,,0.0015,0.0015,3334263.948012959,2025-12-09
F1 Constructors' Champion,champ_costruttori,Cadillac,,0.0015,0.0015,3698637.867052828,2025-12-09
Will there be a safety car during the 2026 F1 Hungarian Grand Prix?,altro,Will there be a safety car during the 2026 F1 Hungarian Grand Prix?,,0.675,1.0,,2026-06-27
Belgian Grand Prix: Constructor Pole Position,altro,Mercedes,,0.625,0.5514,26.182185999999998,2026-06-20
Belgian Grand Prix: Constructor Pole Position,altro,Ferrari,,0.29,0.2558,9.209457,2026-06-20
Belgian Grand Prix: Constructor Pole Position,altro,Red Bull,,0.135,0.1191,26.15875,2026-06-20
Belgian Grand Prix: Constructor Pole Position,altro,Mclaren Mastercard,,0.05,0.0441,2.96875,2026-06-20
Belgian Grand Prix: Constructor Pole Position,altro,Racing Bulls,,0.018,0.0159,89.8755,2026-06-20
Belgian Grand Prix: Constructor Pole Position,altro,Aston Martin,,0.0045,0.004,177.06199999999998,2026-06-20
Belgian Grand Prix: Constructor Pole Position,altro,Audi Revolut,,0.0035,0.0031,184.87199999999999,2026-06-20
Belgian Grand Prix: Constructor Pole Position,altro,Williams,,0.003,0.0026,194.87199999999999,2026-06-20
Belgian Grand Prix: Constructor Pole Position,altro,Alpine,,0.0015,0.0013,185.05749999999998,2026-06-20
Belgian Grand Prix: Constructor Pole Position,altro,Cadillac,,0.0015,0.0013,174.1,2026-06-20
Belgian Grand Prix: Constructor Pole Position,altro,Tgr Haas,,0.0015,0.0013,174.1,2026-06-20
F1 Drivers' Champion,champ_piloti,Kimi Antonelli,ANT,0.5925,0.6055,3725871.485636986,2025-12-09
F1 Drivers' Champion,champ_piloti,Lewis Hamilton,HAM,0.1475,0.1507,5030702.56214393,2025-12-09
F1 Drivers' Champion,champ_piloti,George Russell,RUS,0.145,0.1482,2423994.3319559903,2025-12-09
F1 Drivers' Champion,champ_piloti,Charles Leclerc,LEC,0.0295,0.0301,4992000.557111014,2025-12-09
F1 Drivers' Champion,champ_piloti,Max Verstappen,VER,0.0255,0.0261,5233175.460489018,2025-12-09
F1 Drivers' Champion,champ_piloti,Lando Norris,NOR,0.0225,0.023,5805710.506864038,2025-12-09
F1 Drivers' Champion,champ_piloti,Oscar Piastri,PIA,0.0075,0.0077,5987408.02718302,2025-12-09
F1 Drivers' Champion,champ_piloti,Esteban Ocon,OCO,0.0015,0.0015,9336470.07102741,2025-12-09
F1 Drivers' Champion,champ_piloti,Isack Hadjar,HAD,0.0005,0.0005,9303426.303225275,2025-12-09
F1 Drivers' Champion,champ_piloti,Fernando Alonso,ALO,0.0005,0.0005,9042289.797374565,2025-12-09
F1 Drivers' Champion,champ_piloti,Lance Stroll,STR,0.0005,0.0005,11625551.965504644,2025-12-09
F1 Drivers' Champion,champ_piloti,Oliver Bearman,BEA,0.0005,0.0005,12826077.516555412,2025-12-09
F1 Drivers' Champion,champ_piloti,Nico Hülkenberg,HUL,0.0005,0.0005,8429472.503715316,2025-12-09
F1 Drivers' Champion,champ_piloti,Gabriel Bortoleto,BOR,0.0005,0.0005,10864289.201449987,2025-12-09
F1 Drivers' Champion,champ_piloti,Pierre Gasly,GAS,0.0005,0.0005,11467679.401431503,2025-12-09
F1 Drivers' Champion,champ_piloti,Franco Colapinto,COL,0.0005,0.0005,12181063.801519148,2025-12-09
F1 Drivers' Champion,champ_piloti,Liam Lawson,LAW,0.0005,0.0005,10675943.006793084,2025-12-09
