evento,driver,codice,prob_mercato,volume,data
Belgian Grand Prix: Practice 2 Fastest Lap,Kimi Antonelli,ANT,0.9995,148.842023,2026-06-20
F1 Constructors' Champion,Mercedes,,0.85,885899.3006989957,2025-12-09
Belgian Grand Prix: Driver Podium Finish,Kimi Antonelli,ANT,0.76,1032.710042,2026-06-20
Will there be a safety car during the 2026 F1 Hungarian Grand Prix?,Will there be a safety car during the 2026 F1 Hungarian Grand Prix?,,0.675,,2026-06-27
Belgian Grand Prix: Constructor Pole Position,Mercedes,,0.625,26.182185999999998,2026-06-20
Belgian Grand Prix: Driver Podium Finish,George Russell,RUS,0.62,500.973003,2026-06-20
F1 Drivers' Champion,Kimi Antonelli,ANT,0.5925,3725871.485636986,2025-12-09
Belgian Grand Prix: Driver Podium Finish,Max Verstappen,VER,0.58,2508.20226,2026-06-20
Belgian Grand Prix: Which Constructor Scores 1st?,Mercedes,,0.57,4.98135,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Lewis Hamilton,HAM,0.525,26.889713999999998,2026-06-20
Hungarian Grand Prix: Driver Podium Finish,Lewis Hamilton,HAM,0.52,,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Mercedes,,0.515,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Max Verstappen,VER,0.505,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Charles Leclerc,LEC,0.5,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Lando Norris,NOR,0.5,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Kimi Antonelli,ANT,0.5,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Nico Hulkenberg,HUL,0.5,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Oscar Piastri,PIA,0.5,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,George Russell,RUS,0.5,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Isack Hadjar,HAD,0.5,,2026-06-27
Belgian Grand Prix: Constructor Fastest Lap,Aston Martin,,0.495,,2026-06-20
Belgian Grand Prix: Constructor Fastest Lap,Mercedes,,0.495,,2026-06-20
Hungarian Grand Prix: Driver Podium Finish,Pierre Gasly,GAS,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Esteban Ocon,OCO,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Oliver Bearman,BEA,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Arvid Lindblad,LIN,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Liam Lawson,LAW,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Gabriel Bortoleto,BOR,0.49,,2026-06-27
Belgian Grand Prix: Constructor Fastest Lap,Alpine,,0.48,,2026-06-20
Belgian Grand Prix: Driver Pole Position,Kimi Antonelli,ANT,0.475,3206.356031999999,2026-06-20
Belgian Grand Prix: Constructor Fastest Lap,Ferrari,,0.475,10,2026-06-20
Belgian Grand Prix: Constructor Fastest Lap,Tgr Haas,,0.475,,2026-06-20
Belgian Grand Prix: Constructor Fastest Lap,Mclaren Mastercard,,0.475,,2026-06-20
Belgian Grand Prix: Constructor Fastest Lap,Red Bull,,0.475,,2026-06-20
Belgian Grand Prix: Constructor Fastest Lap,Racing Bulls,,0.475,,2026-06-20
Hungarian Grand Prix: Driver Fastest Lap,Pierre Gasly,GAS,0.475,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Fernando Alonso,ALO,0.475,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Alexander Albon,ALB,0.475,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Charles Leclerc,LEC,0.475,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Max Verstappen,VER,0.475,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Nico Hulkenberg,HUL,0.475,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Esteban Ocon,OCO,0.475,,2026-06-27
