Driver,Team,BestLap_s,LongRunPace_s,Degradation_s_per_lap,TotalLaps,CompositeScore,PredictedPosition,GridPos,_has_pace,P_Win,P_Podium,P_Top5,P_Top6,P_Top10,P_DNF,P_Points,ExpectedPoints,P_BeatTeammate,Reliability,BestLap_fmt,RacePace_fmt,Degradation_fmt
ANT,Mercedes,66.439,89.8,-0.714002291821852,1108,0.9908963713530443,1,1,1,0.1176,0.24639212586061665,0.48392,0.5552,0.8754454684673199,0.0669360954058463,0.8754454684673199,9.396360000000001,0.56302,0.88,1:06.439,1:29.800,-0.714s/lap
VER,Red Bull Racing,66.5,90.1772,-0.4569097726075517,1171,0.9789396528795766,2,2,1,0.08816,0.12552470138353647,0.39670000000000005,0.46620000000000006,0.7648844138539482,0.11119266672124116,0.7648844138539482,7.85504,0.6283,0.71,1:06.500,1:30.177,-0.457s/lap
RUS,Mercedes,66.138,90.1608,-0.407217250099193,1262,0.9018129591466997,3,4,1,0.07692,0.12552470138353647,0.38542,0.45408,0.7648844138539482,0.0669360954058463,0.7648844138539482,7.553,0.43698,0.88,1:06.138,1:30.161,-0.407s/lap
NOR,McLaren,66.527,90.5152,-0.6262512824954584,1139,0.8707737678231148,4,3,1,0.14024,0.8011935639685861,0.8011935639685861,0.8011935639685861,0.8754454684673199,0.09463090488001522,0.8754454684673199,9.99182,0.59228,0.7,1:06.527,1:30.515,-0.626s/lap
LEC,Ferrari,66.374,89.9888,-0.4232445339173481,1268,0.8180127267291678,5,5,1,0.1342,0.8424543760586983,0.8424543760586983,0.8424543760586983,0.8754454684673199,0.0669360954058463,0.8754454684673199,9.9421,0.51206,0.846,1:06.374,1:29.989,-0.423s/lap
HAM,Ferrari,66.433,90.0908,-0.4901491735204638,1195,0.7950049740821901,6,6,1,0.12414,0.2895185100144023,0.49388,0.56106,0.8754454684673199,0.0669360954058463,0.8754454684673199,9.57864,0.48794,0.95,1:06.433,1:30.091,-0.490s/lap
PIA,McLaren,66.536,90.6964,-0.7822439198630132,1253,0.6464496889175604,7,7,1,0.07462,0.12552470138353647,0.36022,0.42832,0.7648844138539482,0.09463090488001522,0.7648844138539482,7.181699999999999,0.40772,0.77,1:06.536,1:30.696,-0.782s/lap
LIN,Racing Bulls,67.032,91.2995,-0.2257805982279109,1160,0.5675380687547866,8,8,1,0.05268,0.05268,0.30579999999999996,0.37132,0.6151371626687488,0.0689644619332962,0.6151371626687488,6.114799999999999,0.56074,0.78,1:07.032,1:31.299,-0.226s/lap
BOR,Audi,67.318,91.1471,-0.5616943393625967,1057,0.5622566615073118,9,9,1,0.03002,0.03415336398067954,0.20736,0.25834,0.28786912051490837,0.13736098123890642,0.28786912051490837,4.262180000000001,0.5966,0.78,1:07.318,1:31.147,-0.562s/lap
HAD,Red Bull Racing,66.657,90.6844,-0.5212426277891851,1074,0.5513738578618694,10,10,1,0.0335,0.03415336398067954,0.21628,0.26761999999999997,0.3819577621891356,0.11119266672124116,0.3819577621891356,4.443300000000001,0.3717,0.76,1:06.657,1:30.684,-0.521s/lap
LAW,Racing Bulls,66.98,91.5072,-0.33597346132527656,1099,0.5227292163919641,11,11,1,0.03154,0.03415336398067954,0.23274,0.29048,0.457522313632279,0.0689644619332962,0.457522313632279,4.7409799999999995,0.43926,0.9,1:06.980,1:31.507,-0.336s/lap
GAS,Alpine,67.248,91.342,-0.3782542167960653,1134,0.48423159200389987,12,12,1,0.02958,0.03415336398067954,0.21842,0.27494,0.3819577621891356,0.04480780974814888,0.3819577621891356,4.50772,0.56026,0.9,1:07.248,1:31.342,-0.378s/lap
COL,Alpine,67.919,91.55199999999999,-0.584879407978261,1116,0.3887235423391795,13,13,1,0.01776,0.028830761801872332,0.1578,0.20568,0.27537991986465865,0.04480780974814888,0.27537991986465865,3.37284,0.43974,0.93,1:07.919,1:31.552,-0.585s/lap
HUL,Audi,67.636,91.6782,-0.7075152394329673,1153,0.37599395874632624,14,14,1,0.01162,0.028830761801872332,0.10999999999999999,0.14492,0.27537991986465865,0.13736098123890642,0.27537991986465865,2.4283,0.4034,0.7,1:07.636,1:31.678,-0.708s/lap
SAI,Williams,68.277,92.2526,-0.20999658514892056,1137,0.3132601223375604,15,15,1,0.01,0.028830761801872332,0.09668,0.12896000000000002,0.27537991986465865,0.11456214147036968,0.27537991986465865,2.15708,0.56102,0.8,1:08.277,1:32.253,-0.210s/lap
BEA,Haas F1 Team,67.548,92.2929,-0.3096876851638836,1180,0.31157863246290585,16,16,1,0.00984,0.028830761801872332,0.10392,0.13802,0.27537991986465865,0.0669360954058463,0.27537991986465865,2.31464,0.55716,0.8,1:07.548,1:32.293,-0.310s/lap
OCO,Haas F1 Team,67.842,92.1891,-0.17425666475596657,1135,0.2613752242719864,17,18,1,0.00602,0.028830761801872332,0.0709,0.09794,0.25277249876552715,0.0669360954058463,0.25277249876552715,1.66696,0.44284,0.91,1:07.842,1:32.189,-0.174s/lap
ALB,Williams,68.534,92.3063,-0.3562486374227568,1140,0.22986903826367047,18,17,1,0.00606,0.028830761801872332,0.06236,0.0865,0.25277249876552715,0.11456214147036968,0.25277249876552715,1.4791999999999998,0.43898,0.7,1:08.534,1:32.306,-0.356s/lap
PER,Cadillac,68.97,92.5769,-0.42296760513043963,881,0.17938297176162013,19,20,1,0.00214,0.02417348489541603,0.03632,0.0515,0.20127279350170554,0.15544923803663602,0.20127279350170554,0.91034,0.53138,0.826,1:08.970,1:32.577,-0.423s/lap
BOT,Cadillac,69.055,93.2397,-0.16625270093031527,896,0.12576972605998937,20,19,1,0.0023,0.021829322185833028,0.0274,0.03984,0.1445798406482551,0.15544923803663602,0.1445798406482551,0.72192,0.46862,0.7,1:09.055,1:33.240,-0.166s/lap
ALO,Aston Martin,69.967,94.0774,-0.8064916862645695,767,0.020258755801361925,21,21,1,0.0008,0.021068633624445166,0.021068633624445166,0.021068633624445166,0.07237625914184903,0.13332095237893857,0.07237625914184903,0.27841999999999995,0.60656,0.85,1:09.967,1:34.077,-0.806s/lap
STR,Aston Martin,70.388,94.1128,-0.06841192600066563,688,0.0,22,22,1,0.00026,0.021068633624445166,0.021068633624445166,0.021068633624445166,0.05382719309317018,0.13332095237893857,0.05382719309317018,0.10266,0.39344,0.7,1:10.388,1:34.113,-0.068s/lap
