,ANT,VER,RUS,NOR,LEC,HAM,PIA,LIN,BOR,HAD,LAW,GAS,COL,HUL,SAI,BEA,OCO,ALB,PER,BOT,ALO,STR
ANT,0.0,0.5578,0.563,0.4808,0.482,0.4953,0.5778,0.6142,0.6961,0.6831,0.6684,0.6774,0.7248,0.771,0.7826,0.7731,0.8072,0.8201,0.8559,0.8674,0.8989,0.9185
VER,0.4422,0.0,0.5023,0.4292,0.427,0.4363,0.5206,0.5553,0.6381,0.6283,0.6112,0.6168,0.6654,0.7221,0.7334,0.7177,0.7544,0.771,0.8085,0.822,0.8582,0.8752
RUS,0.437,0.4977,0.0,0.4225,0.4192,0.4318,0.5171,0.5511,0.6373,0.6253,0.608,0.6158,0.6683,0.7277,0.7398,0.7271,0.766,0.7839,0.8245,0.8411,0.8849,0.9082
NOR,0.5192,0.5708,0.5775,0.0,0.4995,0.5109,0.5923,0.6302,0.7017,0.6925,0.6776,0.6847,0.7283,0.7756,0.7838,0.7722,0.8015,0.8147,0.8442,0.8543,0.8795,0.8928
LEC,0.518,0.573,0.5808,0.5005,0.0,0.5121,0.596,0.6303,0.7084,0.6988,0.6816,0.6895,0.7356,0.782,0.7942,0.7844,0.8143,0.8265,0.8581,0.8713,0.8989,0.9163
HAM,0.5047,0.5637,0.5682,0.4891,0.4879,0.0,0.5815,0.6195,0.6984,0.6864,0.673,0.6777,0.7253,0.7762,0.7869,0.7721,0.806,0.8213,0.852,0.8643,0.8967,0.9151
PIA,0.4222,0.4794,0.4829,0.4077,0.404,0.4185,0.0,0.5324,0.6217,0.6104,0.5891,0.5971,0.6507,0.7086,0.7217,0.7063,0.7451,0.7644,0.8031,0.8202,0.8595,0.8824
LIN,0.3858,0.4447,0.4489,0.3698,0.3697,0.3805,0.4676,0.0,0.5944,0.5816,0.5607,0.5697,0.624,0.6893,0.7032,0.6897,0.7323,0.7526,0.7989,0.8189,0.8723,0.8988
BOR,0.3039,0.3619,0.3627,0.2983,0.2916,0.3016,0.3783,0.4056,0.0,0.4845,0.4643,0.4674,0.5233,0.5966,0.6087,0.5877,0.6345,0.6587,0.7128,0.7359,0.7957,0.832
HAD,0.3169,0.3717,0.3747,0.3075,0.3012,0.3136,0.3896,0.4184,0.5155,0.0,0.4751,0.4815,0.5386,0.6132,0.6242,0.6047,0.652,0.6761,0.7297,0.7535,0.8132,0.8512
LAW,0.3316,0.3888,0.392,0.3224,0.3184,0.327,0.4109,0.4393,0.5357,0.5249,0.0,0.5072,0.5638,0.6382,0.6526,0.6339,0.6838,0.7051,0.7608,0.7833,0.8505,0.8887
GAS,0.3226,0.3832,0.3842,0.3153,0.3105,0.3223,0.4029,0.4303,0.5326,0.5185,0.4928,0.0,0.5603,0.6378,0.6522,0.6313,0.6838,0.7099,0.7672,0.7913,0.8634,0.9044
COL,0.2752,0.3346,0.3317,0.2717,0.2644,0.2747,0.3493,0.376,0.4767,0.4614,0.4362,0.4397,0.0,0.5824,0.5979,0.5761,0.6298,0.6582,0.7235,0.753,0.8376,0.8921
HUL,0.229,0.2779,0.2723,0.2244,0.218,0.2238,0.2914,0.3107,0.4034,0.3868,0.3618,0.3622,0.4176,0.0,0.513,0.4869,0.5384,0.5703,0.633,0.6625,0.7477,0.8018
SAI,0.2174,0.2666,0.2602,0.2162,0.2058,0.2131,0.2783,0.2968,0.3913,0.3758,0.3474,0.3478,0.4021,0.487,0.0,0.4744,0.5284,0.561,0.6307,0.6618,0.7516,0.8143
BEA,0.2269,0.2823,0.2729,0.2278,0.2156,0.2279,0.2937,0.3103,0.4123,0.3953,0.3661,0.3687,0.4239,0.5131,0.5256,0.0,0.5572,0.5902,0.6621,0.6938,0.788,0.8533
OCO,0.1928,0.2456,0.234,0.1985,0.1857,0.194,0.2549,0.2677,0.3655,0.348,0.3162,0.3162,0.3702,0.4616,0.4716,0.4428,0.0,0.532,0.6094,0.6411,0.7452,0.8228
ALB,0.1799,0.229,0.2161,0.1853,0.1735,0.1787,0.2356,0.2474,0.3413,0.3239,0.2949,0.2901,0.3418,0.4297,0.439,0.4098,0.468,0.0,0.5748,0.6097,0.7134,0.7873
PER,0.1441,0.1915,0.1755,0.1558,0.1419,0.148,0.1969,0.2011,0.2872,0.2703,0.2392,0.2328,0.2765,0.367,0.3693,0.3379,0.3906,0.4252,0.0,0.5314,0.6344,0.7179
BOT,0.1326,0.178,0.1589,0.1457,0.1287,0.1357,0.1798,0.1811,0.2641,0.2465,0.2167,0.2087,0.247,0.3375,0.3382,0.3062,0.3589,0.3903,0.4686,0.0,0.6102,0.7004
ALO,0.1011,0.1418,0.1151,0.1205,0.1011,0.1033,0.1405,0.1277,0.2043,0.1868,0.1495,0.1366,0.1624,0.2523,0.2484,0.212,0.2548,0.2866,0.3656,0.3898,0.0,0.6066
STR,0.0815,0.1248,0.0918,0.1072,0.0837,0.0849,0.1176,0.1012,0.168,0.1488,0.1113,0.0956,0.1079,0.1982,0.1857,0.1467,0.1772,0.2127,0.2821,0.2996,0.3934,0.0
