,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P_BeatTeammate,P_DNF
ANT,0.1176,0.10648,0.09622,0.08622,0.0774,0.07128,0.0607,0.05426,0.04744,0.04142,0.03588,0.03186,0.02594,0.02136,0.01808,0.0142,0.0108,0.00842,0.00998,0.01346,0.02178,0.02922,0.56302,0.0669360954058463
VER,0.08816,0.08526,0.07584,0.07472,0.07272,0.0695,0.06526,0.06256,0.05468,0.04776,0.04218,0.03482,0.02968,0.02312,0.01904,0.01448,0.01154,0.01074,0.0125,0.02364,0.03606,0.04574,0.6283,0.11119266672124116
RUS,0.07692,0.0801,0.08184,0.0757,0.07086,0.06866,0.065,0.0605,0.05544,0.05144,0.04634,0.04158,0.03628,0.0305,0.02634,0.02094,0.01612,0.01312,0.01306,0.01716,0.02354,0.02856,0.43698,0.0669360954058463
NOR,0.14024,0.11034,0.09552,0.08546,0.07724,0.07044,0.06094,0.05352,0.0441,0.03754,0.02962,0.02454,0.01842,0.01564,0.0121,0.0093,0.00758,0.00768,0.0115,0.01842,0.02878,0.04108,0.59228,0.09463090488001522
LEC,0.1342,0.11364,0.09928,0.08588,0.07846,0.06836,0.05924,0.05152,0.04466,0.0395,0.03252,0.02876,0.02342,0.01922,0.01582,0.01164,0.00986,0.00842,0.00996,0.01466,0.02262,0.02836,0.51206,0.0669360954058463
HAM,0.12414,0.10922,0.09804,0.08556,0.07692,0.06718,0.05978,0.0537,0.04556,0.04062,0.03518,0.03022,0.02518,0.02178,0.01622,0.01444,0.01016,0.00972,0.01004,0.01448,0.02196,0.0299,0.48794,0.0669360954058463
PIA,0.07462,0.07292,0.0743,0.07134,0.06704,0.0681,0.0664,0.06114,0.06058,0.05374,0.0485,0.04022,0.03356,0.02878,0.02374,0.01898,0.01522,0.013,0.01406,0.02126,0.0319,0.0406,0.40772,0.09463090488001522
LIN,0.05268,0.05982,0.06292,0.0655,0.06488,0.06552,0.06282,0.06344,0.06338,0.06084,0.05748,0.05386,0.04494,0.03922,0.032,0.0255,0.02124,0.01626,0.01508,0.01696,0.0239,0.03176,0.56074,0.0689644619332962
BOR,0.03002,0.03818,0.0424,0.04612,0.05064,0.05098,0.05462,0.05492,0.05736,0.05864,0.05832,0.05702,0.05434,0.04906,0.04304,0.03744,0.03056,0.02722,0.02496,0.03124,0.04398,0.05894,0.5966,0.13736098123890642
HAD,0.0335,0.04012,0.04268,0.04878,0.0512,0.05134,0.05522,0.05576,0.05936,0.06228,0.06268,0.0594,0.05568,0.04866,0.04388,0.0352,0.02966,0.02512,0.02354,0.02878,0.03826,0.0489,0.3717,0.11119266672124116
LAW,0.03154,0.04134,0.04956,0.05376,0.05654,0.05774,0.05966,0.0629,0.06046,0.06204,0.0583,0.05968,0.05322,0.04902,0.04398,0.03874,0.0339,0.02816,0.02308,0.02168,0.02526,0.02944,0.43926,0.0689644619332962
GAS,0.02958,0.03902,0.04456,0.04992,0.05534,0.05652,0.05926,0.0619,0.0635,0.0627,0.0617,0.05988,0.0578,0.05528,0.05122,0.04386,0.03726,0.0291,0.02314,0.01984,0.0181,0.02052,0.56026,0.04480780974814888
COL,0.01776,0.02538,0.03208,0.03918,0.0434,0.04788,0.05124,0.05452,0.05836,0.06136,0.06412,0.0636,0.0651,0.0634,0.06342,0.05692,0.0521,0.04248,0.03224,0.0244,0.02046,0.0206,0.43974,0.04480780974814888
HUL,0.01162,0.0191,0.02298,0.02686,0.02944,0.03492,0.03972,0.04166,0.04838,0.0515,0.0565,0.06048,0.06332,0.06816,0.06586,0.06172,0.0551,0.0487,0.04154,0.04102,0.05182,0.0596,0.4034,0.13736098123890642
SAI,0.01,0.014,0.02014,0.02362,0.02892,0.03228,0.0363,0.0412,0.04472,0.05006,0.05582,0.0596,0.06594,0.07086,0.07308,0.07038,0.06348,0.05558,0.04792,0.0435,0.044,0.0486,0.56102,0.11456214147036968
BEA,0.00984,0.01588,0.0212,0.02618,0.03082,0.0341,0.04118,0.04244,0.0502,0.0524,0.05696,0.0634,0.07186,0.07496,0.07408,0.073,0.06578,0.05528,0.04466,0.03366,0.03092,0.0312,0.55716,0.0669360954058463
OCO,0.00602,0.01008,0.01434,0.0186,0.02186,0.02704,0.03076,0.0365,0.0417,0.04784,0.05222,0.05912,0.06596,0.073,0.07642,0.08098,0.07828,0.07446,0.06638,0.04914,0.03698,0.03232,0.44284,0.0669360954058463
ALB,0.00606,0.00896,0.01194,0.0156,0.0198,0.02414,0.02858,0.03152,0.0358,0.03984,0.04732,0.05412,0.0638,0.07088,0.07742,0.0832,0.08198,0.07868,0.06404,0.05362,0.05066,0.05204,0.43898,0.11456214147036968
PER,0.00214,0.00508,0.00678,0.01006,0.01226,0.01518,0.019,0.02428,0.02736,0.0331,0.04014,0.0467,0.05316,0.05998,0.07028,0.07936,0.08846,0.09182,0.09034,0.08072,0.07204,0.07176,0.53138,0.15544923803663602
BOT,0.0023,0.00362,0.00506,0.00716,0.00926,0.01244,0.01552,0.02022,0.0226,0.02612,0.03284,0.03876,0.04876,0.05668,0.06952,0.08738,0.09694,0.10266,0.1,0.09188,0.07748,0.0728,0.46862,0.15544923803663602
ALO,0.0008,0.0011,0.00174,0.00288,0.00344,0.0047,0.0066,0.00822,0.01014,0.0132,0.01734,0.02156,0.02982,0.03876,0.05282,0.07116,0.09928,0.12684,0.15084,0.14594,0.1154,0.07742,0.60656,0.13332095237893857
STR,0.00026,0.00036,0.00058,0.0009,0.00156,0.0017,0.0022,0.00332,0.00422,0.00606,0.00804,0.01082,0.01382,0.02168,0.03164,0.05118,0.0847,0.12654,0.17114,0.19454,0.1641,0.10064,0.39344,0.13332095237893857
