Driver,Team,BestLap_s,TheoreticalBest_s,QualiScore_s,Pace_norm,Prior,QualScore,PredPos,P_Pole,P_Top3,P_Q3,P_Q2,PosLow,PosHigh,PosExp,Fascia,BestLap_fmt,Theo_fmt
ANT,Mercedes,105.71841538461537,105.74199999999999,105.71841538461537,1.0,0.843,0.99215,1,0.38952,0.736,0.99198,0.99986,1,6,2.7,P1-P6,1:45.718,1:45.718
NOR,McLaren,106.13459999999999,105.939,105.9446,0.9543659200146488,0.764,0.9448476240139163,2,0.1902,0.53192,0.97118,0.9992800000000001,1,8,4.0,P1-P8,1:46.135,1:45.945
VER,Red Bull Racing,106.14970000000001,106.073,106.0847,0.9260999188320482,0.766,0.9180949228904458,3,0.12858,0.42624,0.9506600000000001,0.9986800000000001,1,9,4.7,P1-P9,1:46.150,1:46.085
RUS,Mercedes,106.16181538461538,106.205,106.16181538461538,0.9105414352293714,0.807,0.9053643634679027,4,0.11496,0.39544,0.9416,0.9981800000000001,1,9,4.9,P1-P9,1:46.162,1:46.162
HAM,Ferrari,106.32796923076924,106.281,106.32796923076924,0.8770189169433004,0.807,0.8735179710961353,5,0.06518,0.27926,0.90102,0.9959800000000001,2,10,5.8,P2-P10,1:46.328,1:46.328
HAD,Red Bull Racing,106.6985,106.446,106.4305,0.8563327296176091,0.7,0.8485160931367286,6,0.03428,0.1745,0.8287,0.9898399999999999,3,12,7.0,P3-P12,1:46.698,1:46.430
LEC,Ferrari,106.54096923076925,106.50500000000001,106.54096923076925,0.8340449108626866,0.803,0.8324926653195522,7,0.03316,0.16336,0.81372,0.98788,3,12,7.2,P3-P12,1:46.541,1:46.541
PIA,McLaren,106.8013,106.554,106.5703,0.8281272552041352,0.741,0.8237708924439284,8,0.02466,0.13046,0.77486,0.984,3,13,7.7,P3-P13,1:46.801,1:46.570
LIN,Racing Bulls,107.1532,106.87299999999999,106.85019999999999,0.7716557796080665,0.668,0.7664729906276632,9,0.00516,0.042539999999999994,0.54906,0.9406199999999999,5,15,9.9,P5-P15,1:47.153,1:46.850
LAW,Racing Bulls,107.2966,106.93100000000001,106.93360000000001,0.7548293377905821,0.707,0.752437870901053,10,0.00462,0.03528,0.50972,0.9302199999999999,5,15,10.3,P5-P15,1:47.297,1:46.934
HUL,Audi,106.92060000000001,106.924,106.92060000000001,0.7574521644527802,0.644,0.7517795562301411,11,0.00394,0.03114,0.48441999999999996,0.92096,6,15,10.5,P6-P15,1:46.921,1:46.921
COL,Alpine,107.10199999999999,107.089,107.044,0.7325554867516202,0.704,0.7311277124140392,12,0.00262,0.024,0.42636,0.8971399999999999,6,16,11.0,P6-P16,1:47.102,1:47.044
BOR,Audi,107.0622,107.049,107.0622,0.7288835294245429,0.663,0.7255893529533157,13,0.00218,0.019860000000000003,0.3883,0.88334,6,16,11.3,P6-P16,1:47.062,1:47.062
GAS,Alpine,107.32169999999999,107.36,107.32169999999999,0.6765278741291516,0.72,0.6787014804226941,14,0.0008,0.00772,0.24946000000000002,0.78706,8,17,12.7,P8-P17,1:47.322,1:47.322
BEA,Haas F1 Team,107.7938,107.681,107.6828,0.6036738196892015,0.703,0.6086401287047415,15,4e-05,0.00108,0.08734,0.5361199999999999,11,18,14.8,P11-P18,1:47.794,1:47.683
ALB,Williams,108.01820000000001,107.656,107.6842,0.6033913614332718,0.611,0.6037717933616081,16,0.0001,0.00072,0.06764,0.47748,11,18,15.2,P11-P18,1:48.018,1:47.684
OCO,Haas F1 Team,107.9575,107.815,107.8145,0.5771025680421762,0.665,0.5814974396400674,17,0.0,0.00046,0.05126,0.41502,12,19,15.6,P12-P19,1:47.957,1:47.814
SAI,Williams,108.2308,108.256,108.2308,0.4931115880827436,0.679,0.5024060086786064,18,0.0,0.0,0.00952,0.16296,15,20,17.4,P15-P20,1:48.231,1:48.231
BOT,Cadillac,108.68950000000001,108.377,108.4225,0.4544349826101932,0.593,0.46136323347968355,19,0.0,2e-05,0.0028,0.07468,16,20,18.3,P16-P20,1:48.690,1:48.422
PER,Cadillac,109.00200000000001,108.77000000000001,108.78200000000001,0.3819037376055897,0.617,0.3936585507253102,20,0.0,0.0,0.00039999999999999996,0.020700000000000003,17,20,19.2,P17-P20,1:49.002,1:48.782
ALO,Aston Martin,110.2399,110.116,110.2009,0.09563229522164463,0.594,0.12055068046056239,21,0.0,0.0,0.0,0.0,21,22,21.2,P21-P22,1:50.240,1:50.201
STR,Aston Martin,110.7459,110.56,110.67490000000001,0.0,0.601,0.03005,22,0.0,0.0,0.0,0.0,21,22,21.7,P21-P22,1:50.746,1:50.675
