,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22
ANT,0.38952,0.21088,0.1356,0.08924,0.06136,0.04284,0.0267,0.01772,0.01076,0.00736,0.00412,0.00196,0.0011,0.00048,0.00022,0.00014,0.0,0.0,0.0,0.0,0.0,0.0
NOR,0.1902,0.18858,0.15314,0.12394,0.09612,0.07364,0.05636,0.04156,0.02806,0.01958,0.01286,0.00716,0.00406,0.00268,0.00134,0.00054,0.00016,2e-05,0.0,0.0,0.0,0.0
VER,0.12858,0.15056,0.1471,0.1284,0.1073,0.08866,0.07236,0.057,0.04088,0.02982,0.02046,0.0132,0.00808,0.00414,0.00214,0.00092,0.0003,6e-05,2e-05,2e-05,0.0,0.0
RUS,0.11496,0.13848,0.142,0.12888,0.11214,0.0947,0.07606,0.05792,0.0454,0.03106,0.0227,0.01522,0.01056,0.0051,0.003,0.00132,0.00038,0.00012,0.0,0.0,0.0,0.0
HAM,0.06518,0.10064,0.11344,0.11832,0.1143,0.1077,0.09042,0.07962,0.06306,0.04834,0.03546,0.02544,0.0179,0.01054,0.00562,0.00266,0.00096,0.00036,4e-05,0.0,0.0,0.0
HAD,0.03428,0.05986,0.08036,0.09438,0.10454,0.10722,0.10226,0.0956,0.0832,0.067,0.05482,0.04328,0.03028,0.02072,0.01204,0.00628,0.00262,0.00104,0.00018,4e-05,0.0,0.0
LEC,0.03316,0.05552,0.07468,0.08956,0.10032,0.10368,0.10376,0.09468,0.08544,0.07292,0.05992,0.04568,0.03288,0.02188,0.0138,0.00752,0.00296,0.00126,0.00032,6e-05,0.0,0.0
PIA,0.02466,0.04446,0.06134,0.07832,0.09338,0.0993,0.10218,0.09912,0.0925,0.0796,0.06692,0.05394,0.0411,0.02976,0.01742,0.00928,0.00462,0.00152,0.00054,4e-05,0.0,0.0
LIN,0.00516,0.01412,0.02326,0.03682,0.04838,0.06172,0.07532,0.08662,0.09672,0.10094,0.10084,0.0951,0.08068,0.06502,0.04992,0.032,0.01686,0.00742,0.00254,0.00056,0.0,0.0
LAW,0.00462,0.01116,0.0195,0.03104,0.04276,0.05692,0.06928,0.08194,0.09218,0.10032,0.10198,0.09878,0.08976,0.07532,0.05466,0.0363,0.02104,0.00922,0.00282,0.0004,0.0,0.0
HUL,0.00394,0.00956,0.01764,0.02878,0.03848,0.05106,0.06524,0.07934,0.0917,0.09868,0.0989,0.10344,0.09284,0.08126,0.0601,0.04022,0.02256,0.01156,0.00412,0.00058,0.0,0.0
COL,0.00262,0.00752,0.01386,0.02162,0.03224,0.04226,0.0572,0.068,0.08394,0.0971,0.10312,0.10608,0.10122,0.0901,0.07026,0.05196,0.03042,0.0146,0.005,0.00088,0.0,0.0
BOR,0.00218,0.00598,0.0117,0.01868,0.0285,0.0376,0.05202,0.06498,0.0763,0.09036,0.10306,0.10776,0.1077,0.09784,0.07868,0.0556,0.03646,0.01714,0.00634,0.00112,0.0,0.0
GAS,0.0008,0.00222,0.0047,0.00854,0.01348,0.0204,0.03014,0.0427,0.05466,0.07182,0.08586,0.10176,0.11524,0.12088,0.11386,0.09332,0.06438,0.03552,0.01556,0.00414,2e-05,0.0
BEA,4e-05,0.0002,0.00084,0.00178,0.00314,0.00512,0.0086,0.0136,0.0223,0.03172,0.04648,0.06348,0.08602,0.11274,0.14006,0.15246,0.14072,0.09776,0.0551,0.01774,0.0001,0.0
ALB,0.0001,0.00016,0.00046,0.00088,0.00178,0.00408,0.00648,0.00958,0.01754,0.02658,0.0383,0.05312,0.07854,0.10456,0.13532,0.15686,0.15494,0.11828,0.06742,0.0247,0.00032,0.0
OCO,0.0,0.0001,0.00036,0.00078,0.00148,0.00278,0.00486,0.0082,0.01206,0.02064,0.03184,0.0442,0.06722,0.09178,0.12872,0.15618,0.16858,0.13926,0.08592,0.03448,0.00056,0.0
SAI,0.0,0.0,0.0,2e-05,0.00024,0.00026,0.00064,0.0013,0.00262,0.00444,0.0088,0.01376,0.02324,0.04144,0.0662,0.10742,0.16194,0.23146,0.20858,0.12398,0.0036,6e-05
BOT,0.0,0.0,2e-05,2e-05,6e-05,6e-05,0.0001,0.00048,0.0006,0.00146,0.00282,0.00564,0.0093,0.01842,0.0357,0.06388,0.11316,0.19688,0.29818,0.24336,0.00948,0.00038
PER,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,4e-05,8e-05,0.00026,0.00074,0.001,0.00228,0.00534,0.01094,0.02514,0.05676,0.11578,0.24308,0.50444,0.03206,0.00204
ALO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018,0.0007,0.00378,0.03614,0.68708,0.27212
STR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.00046,0.00732,0.26678,0.7254
