evento,driver,codice,prob_mercato,volume,data
Belgian Grand Prix: Driver Pole Position,Kimi Antonelli,ANT,0.996,38822.945676999974,2026-06-20
Belgian Grand Prix: Constructor Pole Position,Mercedes,,0.995,283.982186,2026-06-20
F1 Constructors' Champion,Mercedes,,0.855,887286.4992099957,2025-12-09
Belgian Grand Prix: Driver Podium Finish,Kimi Antonelli,ANT,0.83,1557.1966630000002,2026-06-20
Belgian Grand Prix: Which Constructor Scores 1st?,Mercedes,,0.68,6.56865,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Max Verstappen,VER,0.675,4497.291284000001,2026-06-20
Belgian Grand Prix: Driver Podium Finish,George Russell,RUS,0.675,1145.317613,2026-06-20
Will there be a safety car during the 2026 F1 Hungarian Grand Prix?,Will there be a safety car during the 2026 F1 Hungarian Grand Prix?,,0.675,,2026-06-27
Belgian Grand Prix: Driver Winner,Kimi Antonelli,ANT,0.65,42446.23170300002,2026-06-20
F1 Drivers' Champion,Kimi Antonelli,ANT,0.6495,3733610.0046279873,2025-12-09
Hungarian Grand Prix: Driver Podium Finish,Max Verstappen,VER,0.54,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Gabriel Bortoleto,BOR,0.5,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Charles Leclerc,LEC,0.5,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Lando Norris,NOR,0.5,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Kimi Antonelli,ANT,0.5,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Nico Hulkenberg,HUL,0.5,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Lewis Hamilton,HAM,0.5,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Oscar Piastri,PIA,0.5,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,George Russell,RUS,0.5,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Isack Hadjar,HAD,0.5,,2026-06-27
Belgian Grand Prix: Constructor Pole Position,Mclaren Mastercard,,0.499,139.219096,2026-06-20
Belgian Grand Prix: Constructor Pole Position,Red Bull,,0.499,142.96875,2026-06-20
Belgian Grand Prix: Constructor Fastest Lap,Aston Martin,,0.495,,2026-06-20
Belgian Grand Prix: Constructor Fastest Lap,Ferrari,,0.495,10,2026-06-20
Belgian Grand Prix: Constructor Fastest Lap,Tgr Haas,,0.495,,2026-06-20
Belgian Grand Prix: Constructor Fastest Lap,Mclaren Mastercard,,0.495,,2026-06-20
Belgian Grand Prix: Constructor Fastest Lap,Red Bull,,0.495,,2026-06-20
Belgian Grand Prix: Constructor Fastest Lap,Racing Bulls,,0.495,,2026-06-20
Hungarian Grand Prix: Which Constructor Scores 1st?,Mclaren Mastercard,,0.495,,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Mercedes,,0.495,,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Racing Bulls,,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Pierre Gasly,GAS,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Esteban Ocon,OCO,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Oliver Bearman,BEA,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Arvid Lindblad,LIN,0.495,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Liam Lawson,LAW,0.495,,2026-06-27
Belgian Grand Prix: Constructor Pole Position,Alpine,,0.4945,185.05749999999998,2026-06-20
Belgian Grand Prix: Constructor Pole Position,Audi Revolut,,0.4935,184.87199999999999,2026-06-20
Hungarian Grand Prix: Which Constructor Scores 1st?,Alpine,,0.493,8.72,2026-06-27
Belgian Grand Prix: Constructor Pole Position,Tgr Haas,,0.4925,174.1,2026-06-20
Belgian Grand Prix: Constructor Fastest Lap,Mercedes,,0.49,,2026-06-20
Hungarian Grand Prix: Which Constructor Scores 1st?,Williams,,0.49,8.72,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Ferrari,,0.49,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Mercedes,,0.49,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Pierre Gasly,GAS,0.485,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Valtteri Bottas,BOT,0.48,50,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Ferrari,,0.48,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Gabriel Bortoleto,BOR,0.475,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Charles Leclerc,LEC,0.475,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Nico Hulkenberg,HUL,0.475,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Oscar Piastri,PIA,0.475,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Arvid Lindblad,LIN,0.475,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Isack Hadjar,HAD,0.475,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Lance Stroll,STR,0.475,50,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Lando Norris,NOR,0.475,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Alexander Albon,ALB,0.475,,2026-06-27
Belgian Grand Prix: Constructor Pole Position,Racing Bulls,,0.4705,217.91750000000002,2026-06-20
Hungarian Grand Prix: Which Constructor Scores 1st?,Audi Revolut,,0.47,8.72,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Lewis Hamilton,HAM,0.47,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Valtteri Bottas,BOT,0.47,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Alexander Albon,ALB,0.47,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Fernando Alonso,ALO,0.47,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Isack Hadjar,HAD,0.47,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Liam Lawson,LAW,0.47,,2026-06-27
Belgian Grand Prix: Constructor Fastest Lap,Alpine,,0.465,,2026-06-20
Hungarian Grand Prix: Driver Pole Position,Alexander Albon,ALB,0.465,50,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Valtteri Bottas,BOT,0.465,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Charles Leclerc,LEC,0.465,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Kimi Antonelli,ANT,0.46,,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Mercedes,,0.46,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Franco Colapinto,COL,0.46,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Kimi Antonelli,ANT,0.455,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Oliver Bearman,BEA,0.45,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Franco Colapinto,COL,0.45,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Aston Martin,,0.45,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Nico Hulkenberg,HUL,0.45,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Oliver Bearman,BEA,0.45,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Lance Stroll,STR,0.45,,2026-06-27
Belgian Grand Prix: Constructor Pole Position,Ferrari,,0.4485,339.012877,2026-06-20
Hungarian Grand Prix: Driver Pole Position,Liam Lawson,LAW,0.445,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Gabriel Bortoleto,BOR,0.445,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Pierre Gasly,GAS,0.445,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,George Russell,RUS,0.445,,2026-06-27
Belgian Grand Prix: Driver Fastest Lap,Kimi Antonelli,ANT,0.44,651.83004,2026-06-20
Hungarian Grand Prix: Driver Pole Position,Pierre Gasly,GAS,0.44,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Fernando Alonso,ALO,0.44,50,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Tgr Haas,,0.44,8.72,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Lance Stroll,STR,0.44,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Williams,,0.44,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Racing Bulls,,0.44,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Fernando Alonso,ALO,0.44,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Lando Norris,NOR,0.44,,2026-06-27
Belgian Grand Prix: Driver Podium Finish,Charles Leclerc,LEC,0.435,874.0811679999999,2026-06-20
Hungarian Grand Prix: Driver Pole Position,Lando Norris,NOR,0.435,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,George Russell,RUS,0.435,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Valtteri Bottas,BOT,0.435,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Ferrari,,0.435,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Mclaren Mastercard,,0.435,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Carlos Sainz Jr.,SAI,0.435,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Max Verstappen,VER,0.435,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Carlos Sainz Jr.,SAI,0.435,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Oscar Piastri,PIA,0.435,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Alexander Albon,ALB,0.435,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Max Verstappen,VER,0.43,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Isack Hadjar,HAD,0.43,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Liam Lawson,LAW,0.43,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Red Bull,,0.43,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Lewis Hamilton,HAM,0.43,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Franco Colapinto,COL,0.43,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Oscar Piastri,PIA,0.43,,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Red Bull,,0.425,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Oliver Bearman,BEA,0.425,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Alpine,,0.425,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Audi Revolut,,0.425,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Cadillac,,0.425,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Charles Leclerc,LEC,0.425,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Esteban Ocon,OCO,0.425,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Charles Leclerc,LEC,0.425,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Lewis Hamilton,HAM,0.425,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Gabriel Bortoleto,BOR,0.425,,2026-06-27
Belgian Grand Prix: Constructor Pole Position,Cadillac,,0.4235,382.72,2026-06-20
Hungarian Grand Prix: Driver Pole Position,Sergio Perez,PER,0.42,50,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Esteban Ocon,OCO,0.42,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Carlos Sainz Jr.,SAI,0.42,50,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Arvid Lindblad,LIN,0.42,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Carlos Sainz Jr.,SAI,0.42,,2026-06-27
Will there be a safety car during the 2026 F1 Belgian Grand Prix?,Will there be a safety car during the 2026 F1 Belgian Grand Prix?,,0.415,13.011866999999999,2026-06-20
Hungarian Grand Prix: Driver Pole Position,Franco Colapinto,COL,0.415,,2026-06-27
