Driver,Team,BestLap_s,LongRunPace_s,Degradation_s_per_lap,TotalLaps,CompositeScore,PredictedPosition,GridPos,_has_pace,P_Win,P_Podium,P_Top5,P_Top6,P_Top10,P_DNF,P_Points,ExpectedPoints,P_BeatTeammate,Reliability,BestLap_fmt,RacePace_fmt,Degradation_fmt
ANT,Mercedes,66.439,89.8,-0.714002291821852,1108,0.997344117647059,1,1,1,0.39138,0.81106,0.89522,0.8977,0.8977,0.10073421457156917,0.8977,17.884659999999997,0.72436,0.88,1:06.439,1:29.800,-0.714s/lap
NOR,McLaren,66.527,90.5677,-0.6262512824954584,1139,0.9491198784402463,2,2,1,0.26822,0.6663600000000001,0.84262,0.8646400000000001,0.8929241286427418,0.10665975660519088,0.8929241286427418,15.65414,0.8586,0.7,1:06.527,1:30.568,-0.626s/lap
VER,Red Bull Racing,66.5,90.213,-0.4569097726075517,1171,0.927608068740298,3,3,1,0.19684,0.50936,0.78186,0.82958,0.8918196696971608,0.12573214005493152,0.8918196696971608,13.666179999999997,0.83488,0.71,1:06.500,1:30.213,-0.457s/lap
RUS,Mercedes,66.138,90.096,-0.407217250099193,1261,0.8777022939965593,4,4,1,0.09868,0.56538,0.8748400000000001,0.8949,0.8949,0.10073421457156917,0.8949,13.771519999999997,0.27564,0.856,1:06.138,1:30.096,-0.407s/lap
HAM,Ferrari,66.433,90.1009,-0.4901491735204638,1195,0.8376708523815201,5,5,1,0.043,0.39224,0.8709999999999999,0.9128599999999999,0.9423875100413387,0.0757362890882068,0.9423875100413387,12.432560000000002,0.91764,0.95,1:06.433,1:30.101,-0.490s/lap
LEC,Ferrari,66.374,89.9678,-0.4232445339173481,1268,0.7702275215895898,6,7,1,2e-05,0.00586,0.14826,0.37222,0.8929241286427418,0.0757362890882068,0.8929241286427418,5.74872,0.08236,0.846,1:06.374,1:29.968,-0.423s/lap
HAD,Red Bull Racing,66.657,90.5294,-0.5212426277891851,1074,0.6737739103456055,7,6,1,0.00088,0.02366,0.247,0.47856,0.8716845335354139,0.12573214005493152,0.8716845335354139,6.178780000000001,0.16512,0.76,1:06.657,1:30.529,-0.521s/lap
PIA,McLaren,66.536,90.6879,-0.7822439198630132,1253,0.6658598214761688,8,8,1,0.00096,0.02424,0.28066,0.54382,0.8916497529363021,0.10665975660519088,0.8916497529363021,6.76458,0.1414,0.77,1:06.536,1:30.688,-0.782s/lap
LIN,Racing Bulls,67.032,91.1724,-0.2257805982279109,1160,0.5434411089714435,9,9,1,2e-05,0.00114,0.03204,0.1049,0.8716845335354139,0.07790018306215556,0.8716845335354139,3.35568,0.56792,0.78,1:07.032,1:31.172,-0.226s/lap
LAW,Racing Bulls,66.98,91.7019,-0.33597346132527656,1099,0.5178850023465075,10,10,1,0.0,0.00062,0.021019999999999997,0.07455999999999999,0.8716845335354139,0.07790018306215556,0.8716845335354139,2.9312199999999997,0.43208,0.9,1:06.980,1:31.702,-0.336s/lap
