,ANT,RUS,LEC,HAM,NOR,VER,PIA,HAD,BOR,LIN,HUL,LAW,GAS,COL,BEA,SAI,OCO,ALB,PER,BOT,ALO,STR
ANT,0.0,0.5546,0.6644,0.7248,0.9033,0.9049,0.8617,0.9026,0.9063,0.902,0.9072,0.9026,0.9012,0.9013,0.9024,0.9049,0.9025,0.905,0.9093,0.9091,0.9081,0.9073
RUS,0.4454,0.0,0.6169,0.6817,0.906,0.9068,0.8489,0.9056,0.9091,0.9053,0.909,0.9053,0.9038,0.9039,0.905,0.9077,0.9051,0.9081,0.9116,0.9108,0.9096,0.9103
LEC,0.3356,0.3831,0.0,0.5779,0.9251,0.9262,0.8169,0.9239,0.9304,0.927,0.9302,0.9271,0.9264,0.9263,0.9269,0.9291,0.9273,0.9296,0.9325,0.9319,0.9311,0.931
HAM,0.2752,0.3183,0.4221,0.0,0.9208,0.923,0.7751,0.9174,0.9285,0.9257,0.9278,0.9247,0.9245,0.9243,0.9248,0.9272,0.9253,0.9272,0.9305,0.9301,0.9296,0.9294
NOR,0.0967,0.094,0.0749,0.0792,0.0,0.5776,0.1804,0.5502,0.872,0.8647,0.7825,0.774,0.7726,0.8376,0.8571,0.8752,0.8789,0.8899,0.8992,0.8998,0.898,0.8978
VER,0.0951,0.0932,0.0738,0.077,0.4224,0.0,0.1863,0.486,0.8437,0.8322,0.7198,0.7105,0.7142,0.7958,0.8221,0.8479,0.8525,0.8716,0.8853,0.8851,0.8838,0.884
PIA,0.1383,0.1511,0.1831,0.2249,0.8196,0.8137,0.0,0.8053,0.8941,0.8893,0.8792,0.8754,0.8752,0.8866,0.8906,0.8963,0.8941,0.8984,0.9024,0.9021,0.9,0.9005
HAD,0.0974,0.0944,0.0761,0.0826,0.4498,0.514,0.1947,0.0,0.8513,0.8447,0.7569,0.7576,0.7612,0.8313,0.8476,0.8635,0.8648,0.8781,0.8847,0.8847,0.8834,0.8829
BOR,0.0937,0.0909,0.0696,0.0715,0.128,0.1563,0.1059,0.1487,0.0,0.4218,0.2395,0.1801,0.1711,0.3606,0.4782,0.5982,0.6416,0.7607,0.8419,0.8518,0.8573,0.8583
LIN,0.098,0.0947,0.073,0.0743,0.1353,0.1678,0.1107,0.1553,0.5782,0.0,0.3273,0.1801,0.1883,0.4453,0.578,0.7053,0.7473,0.8411,0.9134,0.9228,0.9265,0.9267
HUL,0.0928,0.091,0.0698,0.0722,0.2175,0.2802,0.1208,0.2431,0.7605,0.6727,0.0,0.4501,0.4523,0.6423,0.7125,0.7758,0.7924,0.8276,0.8542,0.8569,0.8556,0.8556
LAW,0.0974,0.0947,0.0729,0.0753,0.226,0.2895,0.1246,0.2424,0.8199,0.8199,0.5499,0.0,0.5118,0.7854,0.848,0.8966,0.9095,0.9238,0.9288,0.9286,0.9275,0.9277
GAS,0.0988,0.0962,0.0736,0.0755,0.2274,0.2858,0.1248,0.2388,0.8289,0.8117,0.5477,0.4882,0.0,0.8084,0.8642,0.9164,0.9317,0.9461,0.9515,0.9512,0.9507,0.9506
COL,0.0987,0.0961,0.0737,0.0757,0.1624,0.2042,0.1134,0.1687,0.6394,0.5547,0.3577,0.2146,0.1916,0.0,0.6556,0.8075,0.8679,0.9329,0.952,0.9522,0.9511,0.9511
BEA,0.0976,0.095,0.0731,0.0752,0.1429,0.1779,0.1094,0.1524,0.5218,0.422,0.2875,0.152,0.1358,0.3444,0.0,0.6649,0.7594,0.8562,0.918,0.925,0.9293,0.9296
SAI,0.0951,0.0923,0.0709,0.0728,0.1248,0.1521,0.1037,0.1365,0.4018,0.2947,0.2242,0.1034,0.0836,0.1925,0.3351,0.0,0.5831,0.7766,0.8621,0.873,0.8789,0.8796
OCO,0.0975,0.0949,0.0727,0.0747,0.1211,0.1475,0.1059,0.1352,0.3584,0.2527,0.2076,0.0905,0.0683,0.1321,0.2406,0.4169,0.0,0.764,0.9216,0.9293,0.9296,0.9298
ALB,0.095,0.0919,0.0704,0.0728,0.1101,0.1284,0.1016,0.1219,0.2393,0.1589,0.1724,0.0762,0.0539,0.0671,0.1438,0.2234,0.236,0.0,0.8155,0.8517,0.8791,0.881
PER,0.0907,0.0884,0.0675,0.0695,0.1008,0.1147,0.0976,0.1153,0.1581,0.0866,0.1458,0.0712,0.0485,0.048,0.082,0.1379,0.0784,0.1845,0.0,0.6971,0.8034,0.8173
BOT,0.0909,0.0892,0.0681,0.0699,0.1002,0.1149,0.0979,0.1153,0.1482,0.0772,0.1431,0.0714,0.0488,0.0478,0.075,0.127,0.0707,0.1483,0.3029,0.0,0.7845,0.8156
ALO,0.0919,0.0904,0.0689,0.0704,0.102,0.1162,0.1,0.1166,0.1427,0.0735,0.1444,0.0725,0.0493,0.0489,0.0707,0.1211,0.0704,0.1209,0.1966,0.2155,0.0,0.8351
STR,0.0927,0.0897,0.069,0.0706,0.1022,0.116,0.0995,0.1171,0.1417,0.0733,0.1444,0.0723,0.0494,0.0489,0.0704,0.1204,0.0702,0.119,0.1827,0.1844,0.1649,0.0
