,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P_BeatTeammate,P_DNF
ANT,0.41354,0.25728,0.14598,0.06698,0.01374,0.0009,2e-05,0.0,0.0,0.0,0.0,0.0,2e-05,4e-05,0.00012,0.00048,0.00144,0.00404,0.01052,0.01952,0.02994,0.03544,0.5546,0.10073421457156917
RUS,0.31458,0.28328,0.18308,0.09782,0.02142,0.0011,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.00048,0.00144,0.00412,0.00906,0.01984,0.02864,0.03504,0.4454,0.10073421457156917
LEC,0.15964,0.23754,0.27164,0.19746,0.05342,0.00422,0.00032,4e-05,0.0,0.0,0.0,0.0,0.0,2e-05,2e-05,0.00034,0.00114,0.00364,0.00734,0.01452,0.02246,0.02624,0.57792,0.0757362890882068
HAM,0.10032,0.18018,0.27506,0.27238,0.08644,0.00698,0.0009,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.00026,0.00124,0.00374,0.00738,0.0141,0.02274,0.02814,0.42208,0.0757362890882068
NOR,2e-05,0.00054,0.00576,0.04136,0.16136,0.2842,0.17116,0.10414,0.041,0.02582,0.01684,0.01136,0.00846,0.0064,0.00496,0.00364,0.00344,0.00558,0.01096,0.02092,0.03174,0.04034,0.1804,0.10665975660519088
VER,2e-05,0.00044,0.0043,0.03176,0.11974,0.21504,0.20668,0.1167,0.05658,0.03816,0.02572,0.01758,0.01336,0.00938,0.0078,0.00562,0.00468,0.00664,0.01334,0.02394,0.03574,0.04678,0.486,0.12573214005493152
PIA,0.0117,0.03962,0.10578,0.24298,0.3541,0.07608,0.02822,0.01376,0.00618,0.00384,0.00276,0.00256,0.00142,0.00116,0.00066,0.00074,0.00172,0.00496,0.01044,0.02024,0.03182,0.03926,0.8196,0.10665975660519088
HAD,0.00018,0.00104,0.00718,0.03878,0.13186,0.22896,0.21044,0.13272,0.04798,0.02534,0.01524,0.00944,0.00696,0.00606,0.00494,0.00364,0.00316,0.00612,0.01272,0.02472,0.03776,0.04476,0.514,0.12573214005493152
BOR,0.0,0.0,2e-05,6e-05,0.00088,0.00314,0.01144,0.02956,0.0566,0.08602,0.10816,0.11244,0.11882,0.10814,0.0902,0.06556,0.0378,0.01978,0.01902,0.03002,0.0468,0.05554,0.23948,0.15503663883938804
LIN,0.0,0.0,0.0,0.0002,0.00052,0.00326,0.01398,0.03758,0.07502,0.1144,0.1425,0.14668,0.12782,0.09812,0.07248,0.0472,0.02784,0.01384,0.01052,0.01562,0.02316,0.02926,0.18008,0.07790018306215556
HUL,0.0,8e-05,0.00052,0.00436,0.02108,0.06132,0.1068,0.13786,0.14118,0.108,0.08284,0.0629,0.04246,0.02802,0.01868,0.01364,0.01062,0.01018,0.01526,0.02896,0.04648,0.05876,0.76052,0.15503663883938804
LAW,0.0,0.0,0.00042,0.00312,0.01614,0.0522,0.1097,0.17736,0.20604,0.16038,0.10162,0.05294,0.0256,0.01036,0.00352,0.0013,0.00166,0.00372,0.0086,0.01546,0.02196,0.0279,0.81992,0.07790018306215556
GAS,0.0,0.0,0.00024,0.0023,0.01568,0.04864,0.10538,0.17026,0.20986,0.1719,0.11088,0.0627,0.02982,0.01242,0.00408,0.00158,0.00106,0.00274,0.00588,0.01034,0.01518,0.01906,0.80844,0.05073836360484442
COL,0.0,0.0,2e-05,0.0003,0.0024,0.00878,0.02102,0.04522,0.08594,0.13076,0.16942,0.17478,0.1476,0.09376,0.04508,0.01764,0.00484,0.00288,0.0054,0.01056,0.01522,0.01838,0.19156,0.05073836360484442
BEA,0.0,0.0,0.0,8e-05,0.00104,0.00378,0.00976,0.02352,0.04692,0.07924,0.1172,0.14966,0.15928,0.14548,0.1005,0.0514,0.02436,0.0124,0.01142,0.01544,0.02176,0.02676,0.75942,0.0757362890882068
SAI,0.0,0.0,0.0,6e-05,0.00012,0.001,0.00286,0.0077,0.01794,0.0342,0.06168,0.10218,0.14066,0.16852,0.1552,0.10744,0.05186,0.01942,0.01714,0.0247,0.04004,0.04728,0.77658,0.12932448691364387
OCO,0.0,0.0,0.0,0.0,6e-05,0.00036,0.0012,0.00304,0.00764,0.01804,0.03626,0.07134,0.12062,0.176,0.20528,0.17442,0.08978,0.02252,0.00902,0.01508,0.02206,0.02728,0.24058,0.0757362890882068
ALB,0.0,0.0,0.0,0.0,0.0,4e-05,0.0001,0.00042,0.0011,0.00382,0.00824,0.02104,0.0467,0.09768,0.16518,0.21544,0.19802,0.10134,0.02678,0.02844,0.03776,0.0479,0.22342,0.12932448691364387
PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,2e-05,4e-05,0.00048,0.0016,0.00722,0.023,0.0661,0.13936,0.2139,0.22256,0.13456,0.05534,0.05914,0.07666,0.69714,0.20072591650501867
BOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,8e-05,0.0006,0.00246,0.01118,0.03692,0.09112,0.1693,0.23136,0.20752,0.11334,0.06176,0.07432,0.30286,0.20072591650501867
ALO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0001,0.0006,0.00318,0.01378,0.0413,0.1008,0.1841,0.24526,0.22072,0.12354,0.06654,0.83512,0.1757279910216563
STR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.00012,0.00108,0.00438,0.0174,0.0499,0.11432,0.20186,0.25818,0.2243,0.12836,0.16488,0.1757279910216563
