,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22
ANT,0.27062,0.1985,0.15578,0.12154,0.09474,0.0674,0.04636,0.02482,0.01078,0.00476,0.00266,0.00098,0.00058,0.0004,4e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.0
RUS,0.21634,0.1845,0.15798,0.13194,0.10968,0.08294,0.05656,0.03166,0.01552,0.0063,0.00358,0.00148,0.00092,0.00038,0.0001,0.0001,2e-05,0.0,0.0,0.0,0.0,0.0
LEC,0.12976,0.14372,0.14602,0.14148,0.13066,0.11416,0.0865,0.052,0.02752,0.01302,0.00764,0.00392,0.00182,0.00108,0.00044,0.00024,2e-05,0.0,0.0,0.0,0.0,0.0
HAM,0.13276,0.14166,0.14458,0.1437,0.13202,0.113,0.08492,0.05304,0.02606,0.01372,0.00692,0.0038,0.00188,0.00088,0.00064,0.00034,4e-05,4e-05,0.0,0.0,0.0,0.0
PIA,0.10676,0.12656,0.13606,0.13932,0.13618,0.12358,0.09988,0.06176,0.03244,0.01774,0.00936,0.00532,0.0028,0.00114,0.00066,0.00032,8e-05,4e-05,0.0,0.0,0.0,0.0
NOR,0.08868,0.1131,0.12438,0.1331,0.13714,0.1307,0.11198,0.07248,0.03904,0.02248,0.0126,0.0068,0.0042,0.00196,0.001,0.00022,0.0001,4e-05,0.0,0.0,0.0,0.0
VER,0.04532,0.06824,0.09106,0.11346,0.12894,0.14464,0.14554,0.10686,0.06422,0.0388,0.02234,0.01292,0.00842,0.00508,0.00226,0.00114,0.0006,0.00016,0.0,0.0,0.0,0.0
HAD,0.00854,0.01888,0.03148,0.04674,0.07082,0.09966,0.1356,0.16554,0.12852,0.09418,0.06614,0.04708,0.03308,0.02354,0.01412,0.00884,0.00498,0.00186,0.00038,2e-05,0.0,0.0
HUL,0.00036,0.00086,0.00226,0.00562,0.01152,0.02184,0.0409,0.06998,0.09844,0.11256,0.11276,0.10684,0.10064,0.091,0.07816,0.06414,0.04738,0.0268,0.00678,0.00112,4e-05,0.0
LIN,0.0001,0.00094,0.00242,0.00496,0.01078,0.02148,0.03658,0.06742,0.09856,0.10802,0.1129,0.10856,0.10084,0.09176,0.0821,0.06742,0.04874,0.0287,0.00652,0.00104,0.00016,0.0
BOR,0.00024,0.00092,0.00226,0.00474,0.00952,0.01956,0.03482,0.06544,0.09304,0.10788,0.11122,0.10828,0.10004,0.0935,0.08398,0.07178,0.0513,0.03294,0.00696,0.00142,0.00016,0.0
LAW,0.00018,0.00082,0.00176,0.00478,0.00936,0.02004,0.03624,0.06306,0.09364,0.10548,0.1096,0.10866,0.10164,0.09534,0.08326,0.07042,0.05522,0.03208,0.00682,0.00146,0.00014,0.0
GAS,0.00016,0.00058,0.00166,0.00358,0.00746,0.01554,0.02906,0.05402,0.08446,0.09928,0.10544,0.10798,0.10654,0.09878,0.09228,0.07964,0.0639,0.03956,0.00856,0.00132,0.0002,0.0
COL,0.0001,0.0004,0.00118,0.00256,0.00586,0.01142,0.02504,0.04678,0.07174,0.08914,0.09748,0.1051,0.11016,0.1066,0.0988,0.09106,0.07456,0.04724,0.01232,0.0023,0.00016,0.0
BEA,6e-05,0.00018,0.00072,0.0015,0.00308,0.0077,0.01578,0.03102,0.0524,0.07118,0.08288,0.09528,0.10366,0.1123,0.1137,0.10974,0.10294,0.07154,0.01966,0.00418,0.0005,0.0
SAI,2e-05,6e-05,0.00014,0.00046,0.00112,0.00318,0.00662,0.01626,0.0283,0.04264,0.0561,0.0712,0.0883,0.10178,0.11992,0.13492,0.1472,0.12948,0.04076,0.00986,0.00166,2e-05
OCO,0.0,8e-05,0.0002,0.00042,0.0009,0.00238,0.00604,0.01386,0.02586,0.03654,0.053,0.06744,0.08292,0.10094,0.12114,0.14048,0.15172,0.13714,0.04524,0.0119,0.00174,6e-05
ALB,0.0,0.0,6e-05,0.0001,0.00022,0.00078,0.00158,0.004,0.0094,0.01608,0.02664,0.03636,0.0483,0.0673,0.09406,0.12972,0.1815,0.24422,0.10166,0.03138,0.00656,8e-05
PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0001,0.00048,0.0014,0.0022,0.00398,0.00858,0.0167,0.03862,0.10892,0.34976,0.29986,0.15742,0.01196
BOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,8e-05,0.00026,0.00058,0.00098,0.00198,0.00406,0.01086,0.02572,0.07576,0.27296,0.35684,0.23074,0.01914
ALO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,2e-05,8e-05,0.00028,0.0007,0.00188,0.00536,0.02326,0.1194,0.2634,0.51764,0.06796
STR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022,0.00222,0.0139,0.08288,0.90078
