evento,driver,codice,prob_mercato,volume,data
F1 Constructors' Champion,Mercedes,,0.875,944616.411727996,2025-12-09
F1 Drivers' Champion,Kimi Antonelli,ANT,0.7445,3786593.59373599,2025-12-09
Hungarian Grand Prix: Driver Podium Finish,Kimi Antonelli,ANT,0.74,66.41025400000001,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Lewis Hamilton,HAM,0.575,262.359997,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Charles Leclerc,LEC,0.535,1106.181817,2026-06-27
Will there be a safety car during the 2026 F1 Hungarian Grand Prix?,Will there be a safety car during the 2026 F1 Hungarian Grand Prix?,,0.505,70.736216,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Mercedes,,0.475,69.910713,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Racing Bulls,,0.475,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Lewis Hamilton,HAM,0.475,6.916655,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Charles Leclerc,LEC,0.465,,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,George Russell,RUS,0.465,18.181817,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Mercedes,,0.46,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Charles Leclerc,LEC,0.455,6.929399,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Audi Revolut,,0.45,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Kimi Antonelli,ANT,0.445,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,George Russell,RUS,0.445,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Charles Leclerc,LEC,0.44,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Max Verstappen,VER,0.435,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Lewis Hamilton,HAM,0.435,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Oscar Piastri,PIA,0.435,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,George Russell,RUS,0.43,25,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Lando Norris,NOR,0.43,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Isack Hadjar,HAD,0.43,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Oscar Piastri,PIA,0.425,25,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Mercedes,,0.42,183.222219,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Lando Norris,NOR,0.42,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Kimi Antonelli,ANT,0.42,25,2026-06-27
