Driver,Team,BestLap_s,LongRunPace_s,Degradation_s_per_lap,TotalLaps,CompositeScore,PredictedPosition,GridPos,_has_pace,P_Win,P_Podium,P_Top5,P_Top6,P_Top10,P_DNF,P_Points,ExpectedPoints,P_BeatTeammate,Reliability,BestLap_fmt,RacePace_fmt,Degradation_fmt
HAM,Ferrari,66.433,90.1009,-0.5081995782829395,1244,0.9973970588235294,1,1,1,0.38194,0.82722,0.9210399999999999,0.9225599999999998,0.9293785277685849,0.0757362890882068,0.9293785277685849,18.156039999999997,0.56104,0.95,1:06.433,1:30.101,-0.508s/lap
LEC,Ferrari,66.374,89.9678,-0.42162383162089406,1317,0.9601450410344523,2,2,1,0.28438,0.7857600000000001,0.9215400000000001,0.9242000000000001,0.9293785277685849,0.0757362890882068,0.9293785277685849,17.090640000000004,0.43896,0.846,1:06.374,1:29.968,-0.422s/lap
VER,Red Bull Racing,66.5,90.213,-0.4480075757814175,1223,0.9278389851034958,3,3,1,0.19222,0.50522,0.82068,0.8465199999999999,0.8805141683747869,0.12573214005493152,0.8805141683747869,13.772520000000002,0.83382,0.71,1:06.500,1:30.213,-0.448s/lap
NOR,McLaren,66.527,90.5677,-0.6558293241315234,1195,0.8655361193285873,4,4,1,0.10312,0.48124,0.8254,0.8648600000000001,0.8805979539638364,0.10665975660519088,0.8805979539638364,13.022560000000002,0.89032,0.7,1:06.527,1:30.568,-0.656s/lap
RUS,Mercedes,66.138,90.096,-0.4290093521003165,1312,0.8397409674523101,5,5,1,0.03746,0.36729999999999996,0.8666799999999999,0.8947799999999999,0.8947799999999999,0.10073421457156917,0.8947799999999999,12.046520000000003,0.9034,0.856,1:06.138,1:30.096,-0.429s/lap
HAD,Red Bull Racing,66.657,90.5294,-0.4854218363707602,1119,0.6739972702379551,6,6,1,0.0008,0.02392,0.3352,0.64012,0.8596515567014492,0.12573214005493152,0.8596515567014492,7.0385,0.16618,0.76,1:06.657,1:30.529,-0.485s/lap
PIA,McLaren,66.536,90.6879,-0.7818281773589972,1281,0.6349445860558612,7,9,1,0.0,0.00036,0.02608,0.09664,0.6703791562133922,0.10665975660519088,0.6703791562133922,2.77498,0.10968,0.77,1:06.536,1:30.688,-0.782s/lap
ANT,Mercedes,66.439,89.8,-0.7027146872442234,1138,0.6132125910325917,8,13,1,0.0,0.0001,0.01,0.04324,0.6703791562133922,0.10073421457156917,0.6703791562133922,2.10772,0.0966,0.88,1:06.439,1:29.800,-0.703s/lap
LIN,Racing Bulls,67.032,91.1724,-0.28330345733768986,1217,0.6035131284768878,9,7,1,8e-05,0.00676,0.18192,0.45808000000000004,0.8805979539638364,0.07790018306215556,0.8805979539638364,6.185619999999999,0.74368,0.78,1:07.032,1:31.172,-0.283s/lap
BOR,Audi,67.318,91.0762,-0.546956083861093,1114,0.5294431483043165,10,11,1,0.0,0.0,0.00048,0.0034,0.221541265325213,0.15503663883938804,0.221541265325213,0.42188,0.21034,0.78,1:07.318,1:31.076,-0.547s/lap
HUL,Audi,67.636,91.8531,-0.7073594023360729,1212,0.5273701333456497,11,8,1,0.0,0.0009599999999999999,0.0424,0.13384,0.6703791562133922,0.15503663883938804,0.6703791562133922,3.00514,0.78966,0.7,1:07.636,1:31.853,-0.707s/lap
LAW,Racing Bulls,66.98,91.7019,-0.31945587958523786,1156,0.5184982599409349,12,10,1,0.0,0.0010999999999999998,0.04576,0.15794,0.8719401097620498,0.07790018306215556,0.8719401097620498,3.9623,0.25632,0.9,1:06.980,1:31.702,-0.319s/lap
GAS,Alpine,67.248,91.5208,-0.35308829315370205,1187,0.4376584139747255,13,14,1,0.0,0.0,6e-05,0.00031999999999999997,0.11375752102654448,0.05073836360484442,0.11375752102654448,0.15238,0.8842,0.9,1:07.248,1:31.521,-0.353s/lap
OCO,Haas F1 Team,67.842,92.27629999999999,-0.16252470364093527,1185,0.3801582561964538,14,12,1,0.0,4e-05,0.00182,0.00904,0.24135542489774142,0.0757362890882068,0.24135542489774142,0.76682,0.63834,0.91,1:07.842,1:32.276,-0.163s/lap
BEA,Haas F1 Team,67.548,92.309,-0.2982092031085688,1208,0.3561239166624359,15,15,1,0.0,2e-05,0.0009000000000000001,0.00412,0.221541265325213,0.0757362890882068,0.221541265325213,0.44196,0.36166,0.8,1:07.548,1:32.309,-0.298s/lap
COL,Alpine,67.919,91.6288,-0.5938729694733424,1127,0.2995506193588442,16,21,1,0.0,0.0,0.0,0.0,0.01811589371392136,0.05073836360484442,0.01811589371392136,0.00536,0.1158,0.93,1:07.919,1:31.629,-0.594s/lap
SAI,Williams,68.277,92.1647,-0.23486794826701135,1191,0.29826825483481556,17,18,1,0.0,0.0,0.0,0.0,0.004717747717259299,0.12932448691364387,0.004717747717259299,0.0013,0.24168,0.8,1:08.277,1:32.165,-0.235s/lap
ALB,Williams,68.534,92.4164,-0.3978980044537704,1201,0.27087624964816587,18,16,1,0.0,0.0,4e-05,0.00033999999999999997,0.04717666108696303,0.12932448691364387,0.04717666108696303,0.04768,0.75832,0.7,1:08.534,1:32.416,-0.398s/lap
