,HAM,LEC,VER,NOR,RUS,HAD,PIA,ANT,LIN,BOR,HUL,LAW,GAS,OCO,BEA,COL,SAI,ALB,PER,BOT,ALO,STR
HAM,0.0,0.561,0.6743,0.7375,0.8177,0.9202,0.9271,0.9265,0.9247,0.9289,0.9281,0.9259,0.9251,0.9257,0.926,0.9246,0.9275,0.9282,0.9307,0.931,0.9293,0.9296
LEC,0.439,0.0,0.6364,0.6974,0.7854,0.919,0.9286,0.9289,0.9259,0.9302,0.9301,0.9274,0.9265,0.9274,0.9274,0.9267,0.9293,0.929,0.9322,0.9312,0.9308,0.931
VER,0.3257,0.3636,0.0,0.5247,0.5589,0.8338,0.87,0.8715,0.8383,0.8815,0.8688,0.8603,0.8768,0.8757,0.8768,0.8774,0.8823,0.882,0.8861,0.8868,0.885,0.8858
NOR,0.2625,0.3026,0.4753,0.0,0.5634,0.8203,0.8903,0.8907,0.8605,0.8994,0.8869,0.8799,0.8963,0.8948,0.8958,0.8963,0.9014,0.9007,0.9041,0.9038,0.9026,0.9032
RUS,0.1823,0.2146,0.4411,0.4366,0.0,0.851,0.9031,0.9034,0.8913,0.9053,0.9037,0.9003,0.9003,0.9013,0.9017,0.8999,0.9037,0.904,0.9074,0.9076,0.9055,0.9074
HAD,0.0798,0.081,0.1662,0.1797,0.149,0.0,0.8014,0.8251,0.6279,0.865,0.7806,0.7566,0.8648,0.8523,0.859,0.8739,0.8796,0.8768,0.8835,0.8842,0.8828,0.883
PIA,0.0729,0.0714,0.13,0.1097,0.0969,0.1986,0.0,0.5762,0.2092,0.7928,0.4952,0.3809,0.8291,0.7139,0.7611,0.8777,0.8892,0.8562,0.9012,0.9014,0.8997,0.9007
ANT,0.0735,0.0711,0.1285,0.1093,0.0966,0.1749,0.4238,0.0,0.1604,0.799,0.4471,0.2907,0.8628,0.7264,0.7808,0.8945,0.9024,0.8779,0.9065,0.9068,0.905,0.9053
LIN,0.0753,0.0741,0.1617,0.1395,0.1087,0.3721,0.7908,0.8396,0.0,0.8977,0.7599,0.7437,0.903,0.8821,0.8944,0.9194,0.9228,0.9174,0.9271,0.9276,0.9266,0.9265
BOR,0.0711,0.0698,0.1185,0.1006,0.0947,0.135,0.2072,0.201,0.1023,0.0,0.2103,0.1165,0.5658,0.3892,0.4787,0.7814,0.8212,0.7181,0.8574,0.8573,0.8547,0.8575
HUL,0.0719,0.0699,0.1312,0.1131,0.0963,0.2194,0.5048,0.5529,0.2401,0.7897,0.0,0.3938,0.7836,0.7017,0.7474,0.8315,0.8409,0.8242,0.8555,0.8559,0.8542,0.8536
LAW,0.0741,0.0726,0.1397,0.1201,0.0997,0.2434,0.6191,0.7093,0.2563,0.8835,0.6062,0.0,0.9142,0.8692,0.8936,0.9192,0.9228,0.921,0.9249,0.9247,0.9248,0.9244
GAS,0.0749,0.0735,0.1232,0.1037,0.0997,0.1352,0.1709,0.1372,0.097,0.4342,0.2164,0.0858,0.0,0.272,0.3976,0.8842,0.9284,0.7737,0.9498,0.9495,0.9483,0.9494
OCO,0.0743,0.0726,0.1243,0.1052,0.0987,0.1477,0.2861,0.2736,0.1179,0.6108,0.2983,0.1308,0.728,0.0,0.6383,0.9172,0.9256,0.879,0.9292,0.9304,0.9298,0.929
BEA,0.074,0.0726,0.1232,0.1042,0.0983,0.141,0.2389,0.2192,0.1056,0.5213,0.2526,0.1064,0.6024,0.3617,0.0,0.8788,0.8971,0.8138,0.9282,0.9289,0.9271,0.9276
COL,0.0754,0.0733,0.1226,0.1037,0.1001,0.1261,0.1223,0.1055,0.0806,0.2186,0.1685,0.0808,0.1158,0.0828,0.1212,0.0,0.6121,0.3044,0.9552,0.9547,0.9525,0.9552
SAI,0.0725,0.0707,0.1177,0.0986,0.0963,0.1204,0.1108,0.0976,0.0772,0.1788,0.1591,0.0772,0.0716,0.0744,0.1029,0.3879,0.0,0.2417,0.8616,0.8657,0.8523,0.8829
ALB,0.0718,0.071,0.118,0.0993,0.096,0.1232,0.1438,0.1221,0.0826,0.2819,0.1758,0.079,0.2263,0.121,0.1862,0.6956,0.7583,0.0,0.8733,0.8749,0.8717,0.8793
PER,0.0693,0.0678,0.1139,0.0959,0.0926,0.1165,0.0988,0.0935,0.0729,0.1426,0.1445,0.0751,0.0502,0.0708,0.0718,0.0448,0.1384,0.1267,0.0,0.5495,0.5078,0.8127
BOT,0.069,0.0688,0.1132,0.0962,0.0924,0.1158,0.0986,0.0932,0.0724,0.1427,0.1441,0.0753,0.0505,0.0696,0.0711,0.0453,0.1343,0.1251,0.4505,0.0,0.4596,0.8112
ALO,0.0707,0.0692,0.115,0.0974,0.0945,0.1172,0.1003,0.095,0.0734,0.1453,0.1458,0.0752,0.0517,0.0702,0.0729,0.0475,0.1477,0.1283,0.4922,0.5404,0.0,0.84
STR,0.0704,0.069,0.1142,0.0968,0.0926,0.117,0.0993,0.0947,0.0735,0.1425,0.1464,0.0756,0.0506,0.071,0.0724,0.0448,0.1171,0.1207,0.1873,0.1888,0.16,0.0
