,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P_BeatTeammate,P_DNF
HAM,0.38194,0.27742,0.16786,0.07256,0.02126,0.00152,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0001,0.00036,0.00128,0.00354,0.0073,0.01514,0.02206,0.02754,0.56104,0.0757362890882068
LEC,0.28438,0.29132,0.21006,0.10276,0.03302,0.00266,0.0003,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.00022,0.00104,0.003,0.00726,0.01478,0.02138,0.02768,0.43896,0.0757362890882068
VER,0.19222,0.16276,0.15024,0.16204,0.15342,0.02584,0.01044,0.00608,0.00454,0.0023,0.00206,0.00122,0.00054,0.00038,0.00018,0.00052,0.00188,0.00508,0.01222,0.02444,0.03628,0.04532,0.83382,0.12573214005493152
NOR,0.10312,0.16014,0.21798,0.21186,0.1323,0.03946,0.01212,0.00682,0.00446,0.00242,0.00162,0.00072,0.00046,0.00022,0.00014,0.0005,0.00168,0.00394,0.01088,0.01984,0.03136,0.03796,0.89032,0.10665975660519088
RUS,0.03746,0.10346,0.22638,0.3091,0.19028,0.0281,0.00232,0.0003,6e-05,0.0,0.0,0.0,0.0,0.0,2e-05,0.00044,0.00152,0.00464,0.00976,0.01852,0.0313,0.03634,0.9034,0.10073421457156917
HAD,0.0008,0.00398,0.01914,0.0841,0.22718,0.30492,0.10724,0.0561,0.0282,0.01516,0.00892,0.00594,0.00416,0.00318,0.00158,0.0014,0.00202,0.00542,0.01218,0.02468,0.03774,0.04596,0.16618,0.12573214005493152
PIA,0.0,0.0,0.00036,0.0045,0.02122,0.07056,0.13742,0.16862,0.15758,0.12474,0.08088,0.05052,0.03116,0.02098,0.01172,0.00706,0.00478,0.0055,0.01096,0.02062,0.03154,0.03928,0.10968,0.10665975660519088
ANT,0.0,2e-05,8e-05,0.0013,0.0086,0.03324,0.08558,0.15876,0.2022,0.18572,0.11514,0.05776,0.029,0.01314,0.00396,0.00178,0.00184,0.00472,0.01086,0.01896,0.02932,0.03802,0.0966,0.10073421457156917
LIN,8e-05,0.0007,0.00598,0.03682,0.13834,0.27616,0.2545,0.10238,0.04432,0.02164,0.01114,0.00924,0.00746,0.00526,0.00348,0.00174,0.00166,0.00332,0.00852,0.01578,0.0231,0.02838,0.74368,0.07790018306215556
BOR,0.0,0.0,0.0,6e-05,0.00042,0.00292,0.00924,0.0269,0.06152,0.10752,0.14762,0.14886,0.12674,0.09822,0.06402,0.0307,0.01564,0.01156,0.01606,0.02926,0.04564,0.0571,0.21034,0.15503663883938804
HUL,0.0,0.00014,0.00082,0.00702,0.03442,0.09144,0.14138,0.1518,0.13334,0.1082,0.076,0.03982,0.02234,0.0135,0.0096,0.00672,0.00512,0.0076,0.01562,0.03056,0.04616,0.0584,0.78966,0.15503663883938804
LAW,0.0,6e-05,0.00104,0.00738,0.03728,0.11218,0.20492,0.22912,0.174,0.09282,0.0415,0.01234,0.00354,0.00078,0.00032,0.00028,0.00138,0.00348,0.0081,0.01578,0.02446,0.02924,0.25632,0.07790018306215556
GAS,0.0,0.0,0.0,0.0,6e-05,0.00026,0.00166,0.00788,0.024,0.06022,0.12302,0.18598,0.21488,0.18262,0.10014,0.03398,0.00932,0.00384,0.0057,0.01092,0.01584,0.01968,0.8842,0.05073836360484442
OCO,0.0,0.0,4e-05,0.00026,0.00152,0.00722,0.02118,0.05332,0.09836,0.15306,0.18808,0.18042,0.12886,0.06396,0.02174,0.0042,0.00154,0.00348,0.00818,0.01506,0.0222,0.02732,0.63834,0.0757362890882068
BEA,0.0,0.0,2e-05,0.00024,0.00064,0.00322,0.0109,0.02922,0.05988,0.10458,0.15088,0.18412,0.16978,0.11714,0.05624,0.02124,0.01136,0.00738,0.0083,0.01456,0.0224,0.0279,0.36166,0.0757362890882068
COL,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.00018,0.00088,0.00276,0.00884,0.02954,0.07264,0.14834,0.22844,0.24538,0.16454,0.05162,0.00552,0.00974,0.01426,0.0173,0.1158,0.05073836360484442
SAI,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,0.0002,0.00078,0.00392,0.01554,0.0464,0.10692,0.18628,0.23478,0.18554,0.08352,0.02226,0.02652,0.03996,0.04736,0.24168,0.12932448691364387
ALB,0.0,0.0,0.0,0.0,4e-05,0.0003,0.00066,0.0025,0.00644,0.01804,0.0402,0.07668,0.13362,0.1917,0.20094,0.1312,0.04874,0.01956,0.01554,0.0267,0.03964,0.0475,0.75832,0.12932448691364387
PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,4e-05,0.00044,0.00284,0.01126,0.03748,0.0911,0.16974,0.2176,0.1959,0.11942,0.08062,0.07354,0.54952,0.20072591650501867
BOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,2e-05,0.00026,0.00224,0.00906,0.03078,0.08008,0.15384,0.21178,0.20598,0.1416,0.08936,0.07496,0.45048,0.20072591650501867
ALO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.00058,0.00316,0.01222,0.03772,0.08954,0.16534,0.2248,0.2006,0.12708,0.07342,0.06542,0.83998,0.1757279910216563
STR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.00018,0.0011,0.005,0.01678,0.0502,0.11462,0.2023,0.26004,0.22196,0.1278,0.16002,0.1757279910216563
