,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22
HAM,0.40632,0.24908,0.1485,0.0864,0.05266,0.02814,0.0146,0.00774,0.0032,0.00198,0.00086,0.00028,0.00012,8e-05,2e-05,2e-05,0.0,0.0,0.0,0.0,0.0,0.0
LEC,0.30432,0.25596,0.17136,0.11276,0.0695,0.03848,0.02226,0.01232,0.00714,0.0033,0.00138,0.00062,0.00034,0.00016,6e-05,2e-05,2e-05,0.0,0.0,0.0,0.0,0.0
VER,0.11424,0.16254,0.18638,0.16842,0.1277,0.09082,0.0584,0.0376,0.02282,0.01496,0.00776,0.00422,0.00234,0.001,0.00056,0.00018,2e-05,2e-05,0.0,2e-05,0.0,0.0
NOR,0.08038,0.13294,0.16758,0.16644,0.14424,0.10344,0.07502,0.04992,0.0321,0.02002,0.01232,0.00778,0.004,0.002,0.00118,0.0004,0.0001,6e-05,8e-05,0.0,0.0,0.0
RUS,0.06484,0.11346,0.15126,0.15976,0.1487,0.11874,0.08454,0.05794,0.03878,0.02594,0.01632,0.00946,0.00462,0.00326,0.00148,0.00058,0.00022,8e-05,2e-05,0.0,0.0,0.0
HAD,0.0148,0.03522,0.0607,0.09338,0.12136,0.13672,0.12634,0.1105,0.09084,0.0704,0.05,0.03538,0.02274,0.0148,0.00854,0.00482,0.002,0.00108,0.00028,8e-05,2e-05,0.0
LIN,0.00454,0.01474,0.02992,0.05192,0.07716,0.10188,0.11736,0.11734,0.1124,0.09854,0.08292,0.06372,0.04782,0.03358,0.0206,0.01232,0.00716,0.00388,0.00154,0.00056,0.0001,0.0
HUL,0.00368,0.01128,0.02568,0.04526,0.06706,0.091,0.10978,0.11994,0.11248,0.10534,0.08706,0.0715,0.0542,0.03858,0.02606,0.01486,0.00928,0.00448,0.0018,0.00052,0.00016,0.0
PIA,0.00316,0.01064,0.02314,0.04432,0.06432,0.08952,0.108,0.11704,0.11392,0.10658,0.08832,0.07332,0.057,0.03928,0.02652,0.0175,0.00926,0.0047,0.00238,0.00082,0.00026,0.0
LAW,0.00288,0.00968,0.02218,0.03964,0.0619,0.08548,0.10294,0.11296,0.11596,0.10668,0.095,0.07792,0.06044,0.0408,0.02952,0.0174,0.00978,0.00546,0.00224,0.00098,0.00016,0.0
BOR,0.00036,0.0023,0.00622,0.01306,0.02564,0.0411,0.06022,0.0766,0.09366,0.1053,0.11184,0.11022,0.09584,0.08394,0.06428,0.04354,0.03232,0.01788,0.01028,0.0042,0.0012,0.0
OCO,0.00012,0.00078,0.00224,0.006,0.01306,0.02296,0.03566,0.05142,0.06912,0.08524,0.10118,0.1085,0.11278,0.10592,0.0916,0.0716,0.05354,0.0342,0.01996,0.0105,0.00362,0.0
ANT,0.00024,0.001,0.00326,0.00766,0.01486,0.02822,0.04106,0.05732,0.07572,0.091,0.10464,0.11266,0.11208,0.0983,0.08466,0.0655,0.0445,0.02966,0.01744,0.00744,0.00278,0.0
GAS,0.0001,0.00034,0.00104,0.00328,0.0072,0.01304,0.02234,0.03448,0.0475,0.06488,0.08592,0.09958,0.11076,0.11888,0.10692,0.09518,0.07466,0.05302,0.03432,0.01994,0.00662,0.0
BEA,2e-05,2e-05,0.00026,0.00092,0.0023,0.0058,0.0102,0.01554,0.02598,0.03848,0.05468,0.073,0.093,0.11006,0.12156,0.11864,0.10898,0.09038,0.06752,0.04344,0.01912,0.0001
ALB,0.0,0.0,0.00014,0.00044,0.00138,0.00276,0.00566,0.0099,0.0167,0.02542,0.04026,0.05506,0.0754,0.09354,0.1141,0.12978,0.12468,0.11634,0.09286,0.0643,0.03098,0.0003
ALO,0.0,0.0,8e-05,0.00024,0.00056,0.00116,0.00346,0.00668,0.0118,0.01898,0.02836,0.04418,0.0619,0.08258,0.10452,0.12154,0.13312,0.13022,0.11652,0.087,0.04682,0.00028
SAI,0.0,2e-05,4e-05,4e-05,0.00024,0.00042,0.00122,0.00262,0.0048,0.00822,0.01496,0.02226,0.0361,0.05268,0.07526,0.10066,0.1271,0.15126,0.1587,0.1475,0.09426,0.00164
BOT,0.0,0.0,0.0,2e-05,0.0001,0.00012,0.00052,0.00108,0.00236,0.00456,0.00704,0.0137,0.0224,0.0359,0.05256,0.08162,0.11076,0.14174,0.177,0.19588,0.15014,0.0025
PER,0.0,0.0,2e-05,4e-05,6e-05,0.0002,0.00042,0.00094,0.00256,0.00378,0.00798,0.01448,0.02234,0.03714,0.05574,0.07944,0.1092,0.14284,0.17378,0.19772,0.14844,0.00288
COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.00016,0.0004,0.0012,0.00216,0.00378,0.0075,0.01426,0.0244,0.0433,0.07258,0.12294,0.21672,0.47112,0.01936
STR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,0.00012,0.00034,0.00238,0.0242,0.97294
