evento,tipo,driver,codice,prob_raw,prob_novig,volume,data
F1 Constructors' Champion,champ_costruttori,Mercedes,,0.875,0.8616,954460.3784889962,2025-12-09
F1 Constructors' Champion,champ_costruttori,Ferrari,,0.126,0.1241,636142.110380002,2025-12-09
F1 Constructors' Champion,champ_costruttori,McLaren,,0.0045,0.0044,1669795.8516269922,2025-12-09
F1 Constructors' Champion,champ_costruttori,Racing Bulls,,0.0035,0.0034,3128601.6036648774,2025-12-09
F1 Constructors' Champion,champ_costruttori,Red Bull Racing,,0.0025,0.0025,790594.2777289985,2025-12-09
F1 Constructors' Champion,champ_costruttori,Aston Martin,,0.0015,0.0015,3181641.4452869324,2025-12-09
F1 Constructors' Champion,champ_costruttori,Williams,,0.0005,0.0005,3808173.692617894,2025-12-09
F1 Constructors' Champion,champ_costruttori,Haas,,0.0005,0.0005,3315785.024210928,2025-12-09
F1 Constructors' Champion,champ_costruttori,Audi,,0.0005,0.0005,3245112.3860269655,2025-12-09
F1 Constructors' Champion,champ_costruttori,Alpine,,0.0005,0.0005,3344682.516012963,2025-12-09
F1 Constructors' Champion,champ_costruttori,Cadillac,,0.0005,0.0005,3708316.0570528274,2025-12-09
F1 Drivers' Champion,champ_piloti,Kimi Antonelli,ANT,0.7275,0.7178,3801521.462096989,2025-12-09
F1 Drivers' Champion,champ_piloti,Lewis Hamilton,HAM,0.1215,0.1199,5078189.832445929,2025-12-09
F1 Drivers' Champion,champ_piloti,George Russell,RUS,0.085,0.0839,2493388.096185993,2025-12-09
F1 Drivers' Champion,champ_piloti,Charles Leclerc,LEC,0.0315,0.0311,5090791.126116008,2025-12-09
F1 Drivers' Champion,champ_piloti,Max Verstappen,VER,0.0185,0.0183,5754033.076559969,2025-12-09
F1 Drivers' Champion,champ_piloti,Lando Norris,NOR,0.0135,0.0133,6524956.007459977,2025-12-09
F1 Drivers' Champion,champ_piloti,Oscar Piastri,PIA,0.0075,0.0074,6060819.861972005,2025-12-09
F1 Drivers' Champion,champ_piloti,Esteban Ocon,OCO,0.0015,0.0015,9400388.961027408,2025-12-09
F1 Drivers' Champion,champ_piloti,Isack Hadjar,HAD,0.0005,0.0005,9359463.933225278,2025-12-09
F1 Drivers' Champion,champ_piloti,Fernando Alonso,ALO,0.0005,0.0005,9077090.837374564,2025-12-09
F1 Drivers' Champion,champ_piloti,Lance Stroll,STR,0.0005,0.0005,11679187.195504647,2025-12-09
F1 Drivers' Champion,champ_piloti,Oliver Bearman,BEA,0.0005,0.0005,12882664.206555411,2025-12-09
F1 Drivers' Champion,champ_piloti,Nico Hülkenberg,HUL,0.0005,0.0005,8459576.263715317,2025-12-09
F1 Drivers' Champion,champ_piloti,Gabriel Bortoleto,BOR,0.0005,0.0005,10915001.541449985,2025-12-09
F1 Drivers' Champion,champ_piloti,Pierre Gasly,GAS,0.0005,0.0005,11500563.851431504,2025-12-09
F1 Drivers' Champion,champ_piloti,Franco Colapinto,COL,0.0005,0.0005,12213511.091519145,2025-12-09
F1 Drivers' Champion,champ_piloti,Liam Lawson,LAW,0.0005,0.0005,10709026.356793085,2025-12-09
F1 Drivers' Champion,champ_piloti,Arvid Lindblad,LIN,0.0005,0.0005,12038787.985626183,2025-12-09
F1 Drivers' Champion,champ_piloti,Alexander Albon,ALB,0.0005,0.0005,11864645.66001192,2025-12-09
F1 Drivers' Champion,champ_piloti,Carlos Sainz Jr.,SAI,0.0005,0.0005,11082113.950266168,2025-12-09
F1 Drivers' Champion,champ_piloti,Valtteri Bottas,BOT,0.0005,0.0005,12192205.107809613,2025-12-09
F1 Drivers' Champion,champ_piloti,Sergio Pérez,PER,0.0005,0.0005,11786654.764410239,2025-12-09
Hungarian Grand Prix: Which Constructor Scores 1st?,costruttore_gara,Ferrari,,0.525,0.49,52.704115,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,costruttore_gara,Mercedes,,0.335,0.3126,326.34222700000004,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,costruttore_gara,Mclaren Mastercard,,0.085,0.0793,429.99363300000005,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,costruttore_gara,Red Bull,,0.06,0.056,550.2199999999999,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,costruttore_gara,Williams,,0.019,0.0177,139.45,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,costruttore_gara,Racing Bulls,,0.018,0.0168,109.4471,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,costruttore_gara,Audi Revolut,,0.016,0.0149,114.44999999999999,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,costruttore_gara,Aston Martin,,0.0035,0.0033,179.5039,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,costruttore_gara,Cadillac,,0.0035,0.0033,179.5039,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,costruttore_gara,Tgr Haas,,0.0035,0.0033,179.5039,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,costruttore_gara,Alpine,,0.003,0.0028,114.46,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Kimi Antonelli,ANT,0.36,0.2965,1378.957132,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Charles Leclerc,LEC,0.16,0.1318,576.693818,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Lewis Hamilton,HAM,0.155,0.1277,1239.750293,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,George Russell,RUS,0.115,0.0947,102.37604100000001,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Max Verstappen,VER,0.105,0.0865,98.715638,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Lando Norris,NOR,0.033,0.0272,18.63,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Isack Hadjar,HAD,0.0295,0.0243,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Oscar Piastri,PIA,0.0265,0.0218,73.061223,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Arvid Lindblad,LIN,0.02,0.0165,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Liam Lawson,LAW,0.02,0.0165,23.6868,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Pierre Gasly,GAS,0.016,0.0132,50,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Fernando Alonso,ALO,0.016,0.0132,96.69,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Alexander Albon,ALB,0.016,0.0132,50,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Esteban Ocon,OCO,0.016,0.0132,50,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Nico Hulkenberg,HUL,0.016,0.0132,50,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Valtteri Bottas,BOT,0.016,0.0132,50,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Oliver Bearman,BEA,0.016,0.0132,50,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Lance Stroll,STR,0.016,0.0132,50,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Gabriel Bortoleto,BOR,0.0155,0.0128,50,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Sergio Perez,PER,0.0155,0.0128,70.69,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Franco Colapinto,COL,0.0155,0.0128,84,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,altro,Carlos Sainz Jr.,SAI,0.0155,0.0128,50,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Lewis Hamilton,HAM,0.31,0.2877,2044.4829770000003,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Charles Leclerc,LEC,0.265,0.2459,2389.1039370000017,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Kimi Antonelli,ANT,0.245,0.2274,7287.822569999999,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Max Verstappen,VER,0.08,0.0742,8157.0262250000005,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,George Russell,RUS,0.075,0.0696,4350.284405999999,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Lando Norris,NOR,0.0535,0.0497,3780.567227000001,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Oscar Piastri,PIA,0.0235,0.0218,2378.024074000001,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Isack Hadjar,HAD,0.0065,0.006,540.8055999999999,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Oliver Bearman,BEA,0.0055,0.0051,358.9789999999999,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Gabriel Bortoleto,BOR,0.0025,0.0023,347.46149999999994,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Carlos Sainz Jr.,SAI,0.0025,0.0023,372.4614999999999,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Fernando Alonso,ALO,0.0015,0.0014,560.773722,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Franco Colapinto,COL,0.0015,0.0014,362.6789999999999,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Nico Hulkenberg,HUL,0.0015,0.0014,347.7309999999999,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Pierre Gasly,GAS,0.0005,0.0005,373.97999999999996,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Alexander Albon,ALB,0.0005,0.0005,380.05249999999995,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Sergio Perez,PER,0.0005,0.0005,385.04849999999993,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Esteban Ocon,OCO,0.0005,0.0005,370.3425,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Valtteri Bottas,BOT,0.0005,0.0005,380.05249999999995,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Arvid Lindblad,LIN,0.0005,0.0005,373.9795,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Liam Lawson,LAW,0.0005,0.0005,305.0525,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Lance Stroll,STR,0.0005,0.0005,395.0784999999999,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Lewis Hamilton,HAM,0.29,0.2686,12395.158448000002,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Kimi Antonelli,ANT,0.28,0.2594,30531.419207999996,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Charles Leclerc,LEC,0.275,0.2547,23911.454518999933,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Max Verstappen,VER,0.07,0.0648,8745.021987000002,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,George Russell,RUS,0.065,0.0602,13696.806816000002,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Lando Norris,NOR,0.0485,0.0449,14036.089997999987,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Oscar Piastri,PIA,0.028,0.0259,7570.354940999997,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Isack Hadjar,HAD,0.006,0.0056,3486.5326040000004,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Fernando Alonso,ALO,0.0055,0.0051,2922.891,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Lance Stroll,STR,0.0055,0.0051,1247.9330000000002,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Pierre Gasly,GAS,0.0005,0.0005,969.025,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Alexander Albon,ALB,0.0005,0.0005,522.835,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Gabriel Bortoleto,BOR,0.0005,0.0005,511.83500000000004,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Sergio Perez,PER,0.0005,0.0005,518.835,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Esteban Ocon,OCO,0.0005,0.0005,518.835,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Franco Colapinto,COL,0.0005,0.0005,518.835,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Carlos Sainz Jr.,SAI,0.0005,0.0005,518.835,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Nico Hulkenberg,HUL,0.0005,0.0005,516.835,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Valtteri Bottas,BOT,0.0005,0.0005,499.83500000000004,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Oliver Bearman,BEA,0.0005,0.0005,518.835,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Arvid Lindblad,LIN,0.0005,0.0005,810.726,2026-06-27
Hungarian Grand Prix: Driver Winner,vincitore_gara,Liam Lawson,LAW,0.0005,0.0005,1804.1109999999996,2026-06-27
