evento,driver,codice,prob_mercato,volume,data
Hungarian Grand Prix: Practice 2 Fastest Lap,Lewis Hamilton,HAM,0.9955,420.8248,2026-06-27
F1 Constructors' Champion,Mercedes,,0.875,954460.3784889962,2025-12-09
F1 Drivers' Champion,Kimi Antonelli,ANT,0.7275,3801521.462096989,2025-12-09
Hungarian Grand Prix: Driver Podium Finish,Kimi Antonelli,ANT,0.67,1180.1275190000003,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Lewis Hamilton,HAM,0.615,1762.2466160000001,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Charles Leclerc,LEC,0.59,2601.4228609999996,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Mercedes,,0.57,183.222219,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Ferrari,,0.525,52.704115,2026-06-27
Will there be a safety car during the 2026 F1 Hungarian Grand Prix?,Will there be a safety car during the 2026 F1 Hungarian Grand Prix?,,0.505,143.20864200000003,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Mercedes,,0.5,,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Audi Revolut,,0.4825,189.4515,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Racing Bulls,,0.482,158.72,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Lando Norris,NOR,0.475,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Red Bull,,0.47,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Racing Bulls,,0.47,,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Tgr Haas,,0.467,189.452333,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Lewis Hamilton,HAM,0.465,,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Alpine,,0.4615,189.4515,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Mclaren Mastercard,,0.46,5.26314,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Audi Revolut,,0.455,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Kimi Antonelli,ANT,0.455,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Charles Leclerc,LEC,0.45,,2026-06-27
