Driver,Team,BestLap_s,LongRunPace_s,Degradation_s_per_lap,TotalLaps,CompositeScore,PredictedPosition,GridPos,_has_pace,P_Win,P_Podium,P_Top5,P_Top6,P_Top10,P_DNF,P_Points,ExpectedPoints,P_BeatTeammate,Reliability,BestLap_fmt,RacePace_fmt,Degradation_fmt
NOR,McLaren,66.527,90.5677,-0.6558293241315234,1231,0.9965676470588236,1,1,1,0.30982,0.7021599999999999,0.8606599999999999,0.8746999999999999,0.9049136107598886,0.10665975660519088,0.9049136107598886,16.31894,0.80892,0.7,1:06.527,1:30.568,-0.656s/lap
HAM,Ferrari,66.433,90.1009,-0.49791935033252843,1281,0.9602739385706576,2,2,1,0.34666,0.80308,0.9241,0.92544,0.9550411486911613,0.0757362890882068,0.9550411486911613,17.736780000000003,0.62392,0.95,1:06.433,1:30.101,-0.498s/lap
LEC,Ferrari,66.374,89.9678,-0.4035998723533717,1361,0.9209025872104364,3,3,1,0.17802,0.68252,0.9198000000000001,0.9239400000000001,0.9550411486911613,0.0757362890882068,0.9550411486911613,15.525320000000002,0.37608,0.846,1:06.374,1:29.968,-0.404s/lap
ANT,Mercedes,66.439,89.8,-0.7027146872442234,1174,0.893917014932788,4,4,1,0.15334,0.6315200000000001,0.89234,0.8973800000000001,0.9049136107598886,0.10073421457156917,0.9049136107598886,14.73008,0.90238,0.88,1:06.439,1:29.800,-0.703s/lap
VER,Red Bull Racing,66.5,90.213,-0.4480075757814175,1255,0.8120955090504829,5,6,1,0.00014,0.014280000000000001,0.25,0.49038000000000004,0.8833888265805027,0.12573214005493152,0.8833888265805027,6.166320000000001,0.58632,0.71,1:06.500,1:30.213,-0.448s/lap
RUS,Mercedes,66.138,90.096,-0.4290093521003165,1349,0.7700665105428336,6,7,1,2e-05,0.0044599999999999996,0.16926,0.42284,0.9049136107598886,0.10073421457156917,0.9049136107598886,5.9100399999999995,0.09762,0.856,1:06.138,1:30.096,-0.429s/lap
PIA,McLaren,66.536,90.6879,-0.7818281773589972,1318,0.7683325349556122,7,5,1,0.01188,0.15126,0.7334,0.8215600000000001,0.9049136107598886,0.10665975660519088,0.9049136107598886,9.818079999999998,0.19108,0.77,1:06.536,1:30.688,-0.782s/lap
HAD,Red Bull Racing,66.657,90.5294,-0.4854218363707602,1150,0.6117719356018214,8,8,1,0.00012,0.00838,0.16620000000000001,0.37954,0.8833888265805027,0.12573214005493152,0.8833888265805027,5.526120000000001,0.41368,0.76,1:06.657,1:30.529,-0.485s/lap
LIN,Racing Bulls,67.032,91.1724,-0.28330345733768986,1241,0.5432319744677935,9,9,1,0.0,0.00194,0.06532,0.19444,0.9016561934207415,0.07790018306215556,0.9016561934207415,4.306659999999999,0.88322,0.78,1:07.032,1:31.172,-0.283s/lap
LAW,Racing Bulls,66.98,91.7019,-0.32673247780453046,1191,0.4910531010105531,10,11,1,0.0,2e-05,0.00039999999999999996,0.0024400000000000003,0.24801985933943865,0.07790018306215556,0.24801985933943865,0.5718599999999999,0.11678,0.9,1:06.980,1:31.702,-0.327s/lap
GAS,Alpine,67.248,91.5208,-0.35308829315370205,1219,0.4814835574879861,11,12,1,0.0,0.0,0.0003,0.0018,0.22765857700758704,0.05073836360484442,0.22765857700758704,0.49452,0.26772,0.9,1:07.248,1:31.521,-0.353s/lap
HUL,Audi,67.636,91.8531,-0.6978046472284188,1253,0.46936519717500147,12,10,1,0.0,0.00026000000000000003,0.0133,0.0448,0.4668551651631959,0.15503663883938804,0.4668551651631959,1.8778599999999999,0.78734,0.7,1:07.636,1:31.853,-0.698s/lap
BOR,Audi,67.318,91.0762,-0.5334110504472883,1147,0.4596537056826009,13,14,1,0.0,0.0,0.00012,0.0005200000000000001,0.13021529727658301,0.15503663883938804,0.13021529727658301,0.2203,0.21266,0.78,1:07.318,1:31.076,-0.533s/lap
COL,Alpine,67.919,91.6288,-0.5938729694733424,1169,0.4032601241844872,14,13,1,0.0,0.00012,0.0044,0.01778,0.4668551651631959,0.05073836360484442,0.4668551651631959,1.41066,0.73228,0.93,1:07.919,1:31.629,-0.594s/lap
BEA,Haas F1 Team,67.548,92.309,-0.2982092031085688,1228,0.3215972777602678,15,17,1,0.0,0.0,0.0,0.0,0.010471565467836775,0.0757362890882068,0.010471565467836775,0.00304,0.10542,0.8,1:07.548,1:32.309,-0.298s/lap
OCO,Haas F1 Team,67.842,92.27629999999999,-0.16252470364093527,1215,0.31769172258708855,16,15,1,0.0,0.0,0.00028000000000000003,0.0018800000000000002,0.13021529727658301,0.0757362890882068,0.13021529727658301,0.26516,0.89458,0.91,1:07.842,1:32.276,-0.163s/lap
SAI,Williams,68.277,92.1647,-0.23486794826701135,1217,0.2962244784576429,17,18,1,0.0,0.0,0.00012,0.0005600000000000001,0.10772092822425174,0.12932448691364387,0.10772092822425174,0.11654,0.81998,0.8,1:08.277,1:32.165,-0.235s/lap
ALB,Williams,68.534,92.4164,-0.3978980044537704,1223,0.2324697683084329,18,19,1,0.0,0.0,0.0,0.0,0.0058175580776992685,0.12932448691364387,0.0058175580776992685,0.00164,0.18002,0.7,1:08.534,1:32.416,-0.398s/lap
PER,Cadillac,68.97,93.47919999999999,-0.429901604583274,939,0.13554750776970675,19,22,1,0.0,0.0,0.0,0.0,0.002,0.20072591650501867,0.002,2e-05,0.63966,0.746,1:08.970,1:33.479,-0.430s/lap
BOT,Cadillac,69.055,93.9207,-0.1391948426262066,952,0.10278783783593341,20,21,1,0.0,0.0,0.0,0.0,0.002,0.20072591650501867,0.002,0.0,0.36034,0.7,1:09.055,1:33.921,-0.139s/lap
ALO,Aston Martin,69.967,94.7034,-0.7777315407784308,843,0.07878496900281276,21,16,1,0.0,0.0,0.0,0.0,0.002,0.1757279910216563,0.002,6e-05,0.83928,0.85,1:09.967,1:34.703,-0.778s/lap
STR,Aston Martin,70.388,94.88419999999999,-0.0189395906360667,727,0.0030847373793070304,22,20,1,0.0,0.0,0.0,0.0,0.002,0.1757279910216563,0.002,0.0,0.16072,0.7,1:10.388,1:34.884,-0.019s/lap
