,NOR,HAM,LEC,ANT,VER,RUS,PIA,HAD,LIN,LAW,GAS,HUL,BOR,COL,BEA,OCO,SAI,ALB,PER,BOT,ALO,STR
NOR,0.0,0.4555,0.5585,0.5864,0.8711,0.8775,0.8089,0.8771,0.8868,0.8975,0.8955,0.8974,0.9016,0.8944,0.8974,0.897,0.8992,0.8997,0.9038,0.9032,0.9024,0.9015
HAM,0.5445,0.0,0.6239,0.6495,0.927,0.9292,0.8678,0.9277,0.9281,0.9286,0.9276,0.9313,0.9315,0.9276,0.9284,0.9278,0.9301,0.9302,0.9332,0.9329,0.9324,0.9315
LEC,0.4415,0.3761,0.0,0.5323,0.9213,0.9268,0.8247,0.9249,0.9267,0.9272,0.9264,0.9297,0.9298,0.926,0.9273,0.9273,0.9293,0.9288,0.9321,0.9317,0.9309,0.931
ANT,0.4136,0.3505,0.4677,0.0,0.8962,0.9024,0.7911,0.8977,0.9013,0.9017,0.9007,0.9052,0.9055,0.901,0.9014,0.902,0.9048,0.9044,0.9081,0.9081,0.9068,0.9071
VER,0.1289,0.073,0.0787,0.1038,0.0,0.5474,0.2324,0.5863,0.6585,0.8518,0.8524,0.792,0.8679,0.8096,0.8734,0.8529,0.866,0.8778,0.8834,0.8842,0.8817,0.8823
RUS,0.1225,0.0708,0.0732,0.0976,0.4526,0.0,0.1792,0.5215,0.6953,0.896,0.8958,0.8317,0.9023,0.8522,0.9001,0.8914,0.8992,0.9037,0.9065,0.9062,0.906,0.9053
PIA,0.1911,0.1322,0.1753,0.2089,0.7676,0.8208,0.0,0.8057,0.8541,0.8912,0.8897,0.8849,0.8978,0.8847,0.8953,0.8938,0.8972,0.8979,0.903,0.9019,0.9013,0.9008
HAD,0.1229,0.0723,0.0751,0.1023,0.4137,0.4785,0.1943,0.0,0.6339,0.845,0.8448,0.785,0.8615,0.8141,0.8684,0.8521,0.8629,0.8733,0.8785,0.8791,0.8782,0.8781
LIN,0.1132,0.0719,0.0733,0.0987,0.3415,0.3047,0.1459,0.3661,0.0,0.8832,0.8791,0.7666,0.8973,0.8264,0.9145,0.8901,0.9037,0.9201,0.9253,0.9252,0.9249,0.9245
LAW,0.1025,0.0714,0.0728,0.0983,0.1482,0.104,0.1088,0.155,0.1168,0.0,0.5254,0.3432,0.6847,0.3057,0.9065,0.662,0.7654,0.9091,0.9257,0.9255,0.9249,0.9251
GAS,0.1045,0.0724,0.0736,0.0993,0.1476,0.1042,0.1103,0.1552,0.1209,0.4746,0.0,0.335,0.6762,0.2677,0.9278,0.655,0.7675,0.9323,0.9504,0.95,0.9493,0.95
HUL,0.1026,0.0687,0.0703,0.0948,0.208,0.1683,0.1151,0.215,0.2334,0.6568,0.665,0.0,0.7873,0.5316,0.8265,0.7342,0.7841,0.8359,0.8558,0.856,0.8544,0.8542
BOR,0.0984,0.0685,0.0702,0.0945,0.1321,0.0977,0.1022,0.1385,0.1027,0.3153,0.3238,0.2127,0.0,0.1764,0.7618,0.4476,0.5729,0.7899,0.8561,0.8577,0.8513,0.8574
COL,0.1056,0.0724,0.074,0.099,0.1904,0.1478,0.1153,0.1859,0.1736,0.6943,0.7323,0.4684,0.8236,0.0,0.947,0.8398,0.902,0.9497,0.9515,0.9518,0.9514,0.951
BEA,0.1026,0.0716,0.0727,0.0986,0.1266,0.0999,0.1047,0.1316,0.0855,0.0935,0.0722,0.1735,0.2382,0.053,0.0,0.1054,0.2463,0.6297,0.9161,0.9224,0.8962,0.9304
OCO,0.103,0.0722,0.0727,0.098,0.1471,0.1086,0.1062,0.1479,0.1099,0.338,0.345,0.2658,0.5524,0.1602,0.8946,0.0,0.6637,0.9089,0.9305,0.9304,0.9295,0.93
SAI,0.1008,0.0699,0.0707,0.0952,0.134,0.1008,0.1028,0.1371,0.0963,0.2346,0.2325,0.2159,0.4271,0.098,0.7537,0.3363,0.0,0.82,0.879,0.8813,0.8754,0.8815
ALB,0.1003,0.0698,0.0712,0.0956,0.1222,0.0963,0.1021,0.1267,0.0799,0.0909,0.0677,0.1641,0.2101,0.0503,0.3703,0.0911,0.18,0.0,0.8625,0.8725,0.8419,0.8824
PER,0.0962,0.0668,0.0679,0.0919,0.1166,0.0935,0.097,0.1215,0.0747,0.0743,0.0496,0.1442,0.1439,0.0485,0.0839,0.0695,0.121,0.1375,0.0,0.6397,0.3882,0.8003
BOT,0.0968,0.0671,0.0683,0.0919,0.1158,0.0938,0.0981,0.1209,0.0748,0.0745,0.05,0.144,0.1423,0.0482,0.0776,0.0696,0.1187,0.1275,0.3603,0.0,0.2607,0.7824
ALO,0.0976,0.0676,0.0691,0.0932,0.1183,0.094,0.0987,0.1218,0.0751,0.0751,0.0507,0.1456,0.1487,0.0486,0.1038,0.0705,0.1246,0.1581,0.6118,0.7393,0.0,0.8393
STR,0.0985,0.0685,0.069,0.0929,0.1177,0.0947,0.0992,0.1219,0.0755,0.0749,0.05,0.1458,0.1426,0.049,0.0696,0.07,0.1185,0.1176,0.1997,0.2176,0.1607,0.0
