,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P_BeatTeammate,P_DNF
NOR,0.30982,0.22222,0.17012,0.12228,0.03622,0.01404,0.00854,0.00548,0.00286,0.00092,0.00046,0.00012,8e-05,6e-05,6e-05,0.0004,0.00158,0.00356,0.00974,0.02074,0.032,0.0387,0.80892,0.10665975660519088
HAM,0.34666,0.2685,0.18792,0.09866,0.02236,0.00134,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0001,0.00028,0.00124,0.0032,0.0073,0.01378,0.02164,0.02696,0.62392,0.0757362890882068
LEC,0.17802,0.24204,0.26246,0.18686,0.05042,0.00414,0.00022,6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.00026,0.00122,0.0032,0.00744,0.01478,0.02182,0.02696,0.37608,0.0757362890882068
ANT,0.15334,0.224,0.25418,0.2001,0.06072,0.00504,0.0005,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0005,0.00126,0.0041,0.01012,0.01888,0.03032,0.0368,0.90238,0.10073421457156917
VER,0.00014,0.00202,0.01212,0.06218,0.17354,0.24038,0.1704,0.09694,0.05194,0.02602,0.01344,0.00776,0.00544,0.00398,0.00262,0.00214,0.00242,0.00536,0.0123,0.02412,0.03874,0.046,0.58632,0.12573214005493152
RUS,2e-05,0.0003,0.00414,0.03264,0.13216,0.25358,0.22368,0.15346,0.05992,0.02436,0.00846,0.00274,0.001,0.00018,0.0001,0.00044,0.00106,0.00422,0.01034,0.01986,0.03026,0.03708,0.09762,0.10073421457156917
PIA,0.01188,0.03954,0.09984,0.2447,0.33744,0.08816,0.03412,0.01728,0.00892,0.004,0.00196,0.00164,0.001,0.00038,0.00028,0.00076,0.00168,0.00452,0.01074,0.02072,0.03208,0.03836,0.19108,0.10665975660519088
HAD,0.00012,0.00132,0.00694,0.03808,0.11974,0.21334,0.21614,0.14392,0.0686,0.02446,0.01134,0.00698,0.0052,0.00434,0.00332,0.00228,0.00278,0.00556,0.0122,0.0262,0.03822,0.04892,0.41368,0.12573214005493152
LIN,0.0,4e-05,0.0019,0.01192,0.05146,0.12912,0.20192,0.24288,0.17758,0.04864,0.01688,0.0097,0.00866,0.00724,0.00508,0.0034,0.00256,0.00374,0.00862,0.0155,0.02346,0.0297,0.88322,0.07790018306215556
LAW,0.0,0.0,2e-05,8e-05,0.0003,0.00204,0.01018,0.03786,0.09302,0.15272,0.18452,0.1693,0.1297,0.08,0.04064,0.01436,0.00398,0.00404,0.00854,0.01566,0.023,0.03004,0.11678,0.07790018306215556
GAS,0.0,0.0,0.0,2e-05,0.00028,0.0015,0.00888,0.03062,0.0799,0.14392,0.18128,0.1814,0.15112,0.09562,0.04832,0.0181,0.00456,0.00272,0.00556,0.01054,0.01584,0.01982,0.26772,0.05073836360484442
HUL,0.0,2e-05,0.00024,0.002,0.01104,0.0315,0.07306,0.13272,0.18094,0.15638,0.0935,0.06328,0.04026,0.02256,0.01552,0.01064,0.00756,0.00784,0.01658,0.03074,0.0457,0.05792,0.78734,0.15503663883938804
BOR,0.0,0.0,0.0,0.0,0.00012,0.0004,0.00356,0.01218,0.036,0.07382,0.1081,0.13362,0.1473,0.13674,0.10156,0.0576,0.02532,0.01426,0.0171,0.02934,0.04654,0.05644,0.21266,0.15503663883938804
COL,0.0,0.0,0.00012,0.00042,0.00386,0.01338,0.04136,0.10366,0.1843,0.22678,0.1803,0.1055,0.05704,0.02196,0.0068,0.00132,0.0009,0.0025,0.00552,0.00968,0.01504,0.01956,0.73228,0.05073836360484442
BEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014,0.00046,0.00156,0.00666,0.02388,0.06436,0.1378,0.22286,0.24356,0.1618,0.05428,0.01528,0.01728,0.0226,0.02748,0.10542,0.0757362890882068
OCO,0.0,0.0,0.0,4e-05,0.00024,0.0016,0.00528,0.01562,0.0385,0.07832,0.12002,0.16518,0.18412,0.16874,0.10388,0.03556,0.00658,0.00396,0.0083,0.01514,0.02236,0.02656,0.89458,0.0757362890882068
SAI,0.0,0.0,0.0,2e-05,0.0001,0.00044,0.0021,0.0071,0.01684,0.0371,0.06896,0.11348,0.15632,0.18638,0.15582,0.08686,0.0315,0.0124,0.013,0.02584,0.0378,0.04794,0.81998,0.12932448691364387
ALB,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,4e-05,0.00022,0.00092,0.00368,0.01364,0.0393,0.10066,0.17918,0.2379,0.19836,0.09056,0.0229,0.02754,0.0379,0.04718,0.18002,0.12932448691364387
PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,6e-05,0.00058,0.00256,0.01004,0.0354,0.08894,0.16632,0.21974,0.19848,0.12562,0.0779,0.07434,0.63966,0.20072591650501867
BOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-05,0.0003,0.00126,0.00522,0.01952,0.05484,0.11974,0.2,0.2274,0.18418,0.11148,0.076,0.36034,0.20072591650501867
ALO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-05,0.00032,0.00084,0.005,0.01692,0.05408,0.12118,0.20596,0.22994,0.16254,0.0775,0.0606,0.06506,0.83928,0.1757279910216563
STR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-05,0.00028,0.00116,0.00466,0.01868,0.05162,0.1203,0.21,0.25636,0.2147,0.12218,0.16072,0.1757279910216563
