Driver,Team,BestLap_s,TheoreticalBest_s,QualiScore_s,Pace_norm,Prior,QualScore,PredPos,P_Pole,P_Top3,P_Q3,P_Q2,PosLow,PosHigh,PosExp,Fascia,BestLap_fmt,Theo_fmt
HAM,Ferrari,75.58293855132166,75.5,75.50806347026737,1.0,0.807,0.99035,1,0.40632,0.8039,0.99862,0.9999799999999999,1,5,2.4,P1-P5,1:15.583,1:15.508
LEC,Ferrari,75.71675376028276,75.6286315495035,75.62843956211617,0.9745447902076612,0.803,0.9659675506972781,2,0.30432,0.7316400000000001,0.9974000000000001,0.9999600000000001,1,5,2.7,P1-P5,1:15.717,1:15.628
VER,Red Bull Racing,76.2496147537857,75.94253092776951,75.95299424037839,0.905913159978075,0.766,0.8989175019791712,3,0.11424,0.46315999999999996,0.98388,0.99976,1,7,4.1,P1-P7,1:16.250,1:15.953
NOR,McLaren,76.05714739799876,76.05388361241434,76.05714739799876,0.8838885167366958,0.764,0.8778940908998609,4,0.08038,0.3809,0.9720799999999999,0.9993599999999999,2,8,4.6,P2-P8,1:16.057,1:16.057
RUS,Mercedes,76.44169813479803,76.18539497272762,76.15659686462983,0.862858534802993,0.807,0.8600656080628434,5,0.06484,0.32956,0.96396,0.9991000000000001,2,9,4.9,P2-P9,1:16.442,1:16.157
HAD,Red Bull Racing,76.58684059961094,76.49257479243748,76.4764478519027,0.7952215658810862,0.7,0.7904604875870318,6,0.0148,0.11072,0.86026,0.99172,3,11,7.1,P3-P11,1:16.587,1:16.476
LIN,Racing Bulls,77.02198001296868,76.71432022479053,76.69848126533674,0.748269492316747,0.668,0.7442560177009097,7,0.00454,0.049199999999999994,0.7257999999999999,0.9744399999999998,4,13,8.6,P4-P13,1:17.022,1:16.698
HUL,Audi,76.91369912652095,76.74215839595173,76.74091047793415,0.7392972413373122,0.644,0.7345323792704466,8,0.00368,0.04064,0.6915,0.9689000000000001,5,13,8.9,P5-P13,1:16.914,1:16.741
PIA,McLaren,76.90064398418329,76.81895335087921,76.82768877700221,0.7209467551712208,0.741,0.7219494174126597,9,0.00316,0.03694,0.68064,0.9650799999999999,5,14,9.0,P5-P14,1:16.901,1:16.828
LAW,Racing Bulls,76.82346505448118,76.83431234186469,76.82346505448118,0.721839920427096,0.707,0.7210979244057412,10,0.00288,0.03474,0.6603,0.9639800000000001,5,14,9.2,P5-P14,1:16.823,1:16.823
BOR,Audi,77.14897966967997,77.09445525168148,77.10290269672349,0.662748919067049,0.663,0.6627614731136966,11,0.00036,0.008879999999999999,0.42446,0.89058,7,16,11.2,P7-P16,1:17.149,1:17.103
OCO,Haas F1 Team,77.32234428042874,77.2922022606197,77.2849067399016,0.6242616162231271,0.665,0.6262985354119708,12,0.00012,0.0031399999999999996,0.28659999999999997,0.80658,8,17,12.4,P8-P17,1:17.322,1:17.285
ANT,Mercedes,77.45798336956936,77.38147639572288,77.3792685407687,0.6043074924385434,0.843,0.6162421178166162,13,0.00024,0.0045,0.32033999999999996,0.8326799999999999,8,17,12.1,P8-P17,1:17.458,1:17.379
GAS,Alpine,77.53689018575734,77.52930668395823,77.48793340199107,0.5813287863102136,0.72,0.5882623469947029,14,0.0001,0.00148,0.19419999999999998,0.71626,9,18,13.4,P9-P18,1:17.537,1:17.488
BEA,Haas F1 Team,77.70257530101334,77.706895017228,77.70257530101334,0.5359397519436466,0.703,0.5442927643464642,15,2e-05,0.0003,0.09952,0.55182,11,19,14.8,P11-P19,1:17.703,1:17.703
ALB,Williams,77.76621911990947,77.72897356676965,77.76621911990947,0.5224813754744946,0.611,0.5269073067007698,16,0.0,0.00014,0.0624,0.44076,11,19,15.7,P11-P19,1:17.766,1:17.766
ALO,Aston Martin,78.15835335850784,77.78560984602866,77.85501328654436,0.5037046058908283,0.594,0.5082193755962868,17,0.0,8e-05,0.04296,0.3645,12,20,16.3,P12-P20,1:18.158,1:17.855
SAI,Williams,78.14088250626185,78.16382499904643,78.14088250626185,0.4432535574366143,0.679,0.45504087956478356,18,0.0,6.000000000000001e-05,0.017619999999999997,0.21888,14,20,17.4,P14-P20,1:18.141,1:18.141
BOT,Cadillac,78.2236290701962,78.1791839900319,78.22362907019618,0.4257556381056782,0.593,0.4341178562003943,19,0.0,0.0,0.00876,0.14036,15,21,18.1,P15-P21,1:18.224,1:18.224
PER,Cadillac,78.52188147639573,78.23294045848112,78.23966001703728,0.42236566997543845,0.617,0.4320973864766665,20,0.0,2e-05,0.008020000000000001,0.1457,15,21,18.1,P15-P21,1:18.522,1:18.240
COL,Alpine,78.77626476459295,78.81562217899328,78.77626476459295,0.3088930840590285,0.704,0.32864842985607706,21,0.0,0.0,0.00068,0.029580000000000002,18,21,19.8,P18-P21,1:18.776,1:18.776
STR,Aston Martin,80.23700080100699,80.12689603437973,80.23700080100699,0.0,0.601,0.03005,22,0.0,0.0,0.0,2e-05,22,22,22.0,P22-P22,1:20.237,1:20.237
