evento,tipo,driver,codice,prob_raw,prob_novig,volume,data
Hungarian Grand Prix: Driver Pole Position,altro,Lando Norris,NOR,0.9945,0.9876,57154.67551300005,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Max Verstappen,VER,0.0015,0.0015,21992.796227000006,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,George Russell,RUS,0.0015,0.0015,10965.946543,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Pierre Gasly,GAS,0.0005,0.0005,373.97999999999996,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Fernando Alonso,ALO,0.0005,0.0005,586.6037220000001,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Alexander Albon,ALB,0.0005,0.0005,398.98249999999996,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Gabriel Bortoleto,BOR,0.0005,0.0005,373.75149999999996,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Sergio Perez,PER,0.0005,0.0005,403.97849999999994,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Charles Leclerc,LEC,0.0005,0.0005,18083.544354999998,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Esteban Ocon,OCO,0.0005,0.0005,378.98249999999996,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Kimi Antonelli,ANT,0.0005,0.0005,42805.23561399998,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Franco Colapinto,COL,0.0005,0.0005,378.96899999999994,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Carlos Sainz Jr.,SAI,0.0005,0.0005,398.7514999999999,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Nico Hulkenberg,HUL,0.0005,0.0005,373.96099999999984,2026-06-27
Hungarian Grand Prix: Driver Pole Position,altro,Valtteri Bottas,BOT,0.0005,0.0005,398.98249999999996,2026-06-27
