evento,driver,codice,prob_mercato,volume,data
Hungarian Grand Prix: Driver Pole Position,Lando Norris,NOR,0.9945,57154.67551300005,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Mclaren Mastercard,,0.9945,729.442682,2026-06-27
F1 Constructors' Champion,Mercedes,,0.865,971224.1618879961,2025-12-09
Hungarian Grand Prix: Driver Podium Finish,Lando Norris,NOR,0.81,5959.319780000002,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Charles Leclerc,LEC,0.71,3297.7275929999996,2026-06-27
F1 Drivers' Champion,Kimi Antonelli,ANT,0.6905,3820759.8459119927,2025-12-09
Will there be a safety car during the 2026 F1 Dutch Grand Prix?,Will there be a safety car during the 2026 F1 Dutch Grand Prix?,,0.69,,2026-07-25
Hungarian Grand Prix: Driver Podium Finish,Kimi Antonelli,ANT,0.58,1721.4986310000004,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Lewis Hamilton,HAM,0.57,3091.440366,2026-06-27
Will there be a safety car during the 2026 F1 Hungarian Grand Prix?,Will there be a safety car during the 2026 F1 Hungarian Grand Prix?,,0.5,281.77857300000005,2026-06-27
Will there be a red flag during the 2026 F1 Dutch Grand Prix?,Will there be a red flag during the 2026 F1 Dutch Grand Prix?,,0.5,,2026-07-25
Hungarian Grand Prix: Constructor Fastest Lap,Mercedes,,0.475,,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Ferrari,,0.46,218.39746799999995,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Racing Bulls,,0.46,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Ferrari,,0.455,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Red Bull,,0.45,,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Alpine,,0.448,367.7115,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Cadillac,,0.4445,383.450333,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Racing Bulls,,0.443,251.54000000000002,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Aston Martin,,0.4415,363.561333,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Williams,,0.436,188.7185,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Mclaren Mastercard,,0.435,5.26314,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Audi Revolut,,0.4315,163.7185,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Racing Bulls,,0.4305,109.4471,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Audi Revolut,,0.425,57.2653,2026-06-27
Hungarian Grand Prix: Driver Winner,Lando Norris,NOR,0.3495,67982.70828600008,2026-06-27
Will there be a red flag during the 2026 F1 Hungarian Grand Prix?,Will there be a red flag during the 2026 F1 Hungarian Grand Prix?,,0.33,919.8125960000001,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Lando Norris,NOR,0.3245,327.47615199999996,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Ferrari,,0.295,72.020961,2026-06-27
Hungarian Grand Prix: Driver Winner,Charles Leclerc,LEC,0.27,56974.037304999816,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Mercedes,,0.26,595.410747,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Mclaren Mastercard,,0.235,528.8701530000001,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Kimi Antonelli,ANT,0.235,1715.0571320000001,2026-06-27
